GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.269,-2.7011159834,-0.1776777365,0.0781157309,1,KH2013:KH.C10.269
KH2013:KH.C10.27,-0.5302042605,4.0566076548,0.1052329267,1,KH2013:KH.C10.27
KH2013:KH.C10.270,-0.3150762802,4.4327327918,0.2951257568,1,PNN
KH2013:KH.C10.271,0.253212697,3.6104128679,0.4669261731,1,MCEE
KH2013:KH.C10.272,-0.2086579279,4.1205997572,0.4836524764,1,FAM213B
KH2013:KH.C10.273,-0.1702715151,5.9901616273,0.3754703959,1,EMG1
KH2013:KH.C10.274,-0.151805939,4.9234647799,0.5527743782,1,ZIG-2/3/4/5
KH2013:KH.C10.275,0.1313025908,5.1635323357,0.5451417683,1,DCTN2
KH2013:KH.C10.276,0.4510128841,2.6472906912,0.3485302268,1,KH2013:KH.C10.276
KH2013:KH.C10.277,-0.0014502602,3.1415172773,1,1,A730011L01RIK
KH2013:KH.C10.278,-0.1011074493,5.4599822321,0.6750369312,1,EIF2B1
KH2013:KH.C10.279,0.0060392408,4.5262512428,1,1,QTRTD1
KH2013:KH.C10.28,-0.8292106423,1.8235476755,0.181569359,1,KH2013:KH.C10.28
KH2013:KH.C10.280,-0.0389466594,9.4570624369,0.8211209431,1,EIF4A3
KH2013:KH.C10.281,2.7284230267,-1.514280372,1,1,KH2013:KH.C10.281
KH2013:KH.C10.282,0.0986036627,6.6115363879,0.5816453569,1,KH2013:KH.C10.282_FUT3/4/5/6/7/9
KH2013:KH.C10.283,-0.1137608325,4.2508413229,0.7114814994,1,KH2013:KH.C10.283
KH2013:KH.C10.284,-0.5584525138,-1.1329801564,1,1,ALS2CR11
KH2013:KH.C10.285,0.0038618787,5.887936967,0.9881651954,1,STX5A
KH2013:KH.C10.286,0.2075016899,4.5444913307,0.5162806549,1,SCUBE2
KH2013:KH.C10.287,-0.5059439642,6.13261494,0.0269971778,1,BCL9L
KH2013:KH.C10.288,-0.0835959531,4.4941461262,0.8116450049,1,RIC3
KH2013:KH.C10.289,0,-1.5241424656,1,1,KH2013:KH.C10.289
KH2013:KH.C10.29,0,-1.6351972215,1,1,KH2013:KH.C10.29
KH2013:KH.C10.290,-0.4517261765,2.1265944261,0.4194471752,1,SWiP1
KH2013:KH.C10.291,-0.1638695389,5.8088485678,0.417117732,1,KCNJ12/14/18/2/4
KH2013:KH.C10.292,-2.8122478633,-1.4136353918,1,1,KH2013:KH.C10.292
KH2013:KH.C10.294,0.1796477391,5.3901879529,0.4344394391,1,CCDC9
KH2013:KH.C10.295,-1.3714108917,1.5446138861,0.02243754,1,KH2013:KH.C10.295
KH2013:KH.C10.296,-0.0815689913,6.0596852823,0.6588621795,1,KH2013:KH.C10.296
KH2013:KH.C10.297,0.4391864959,2.2953988098,0.4615507142,1,MOK
KH2013:KH.C10.298,-0.7733536881,2.3776277954,0.0999441987,1,SDHDA
KH2013:KH.C10.299,-0.0432519174,4.8686786278,0.8657455769,1,NAA50
KH2013:KH.C10.3,-0.4373709347,4.1672380833,0.1707203816,1,CHMP6
KH2013:KH.C10.30,0.5650868009,2.5048991388,0.2034994026,1,KH2013:KH.C10.30
KH2013:KH.C10.300,-2.146135809,-1.4125361443,1,1,KH2013:KH.C10.300
KH2013:KH.C10.301,0,-1.5241424656,1,1,KH2013:KH.C10.301_CG9517
KH2013:KH.C10.302,-2.0249034555,-1.5201279083,1,1,KH2013:KH.C10.302
KH2013:KH.C10.303,-0.3669167352,3.0799452458,0.4104187664,1,XRRA1
KH2013:KH.C10.304,0.0718471946,6.9760292451,0.6825065856,1,KH2013:KH.C10.304
KH2013:KH.C10.305,-0.1446623288,6.7718167256,0.4051825699,1,TBP
KH2013:KH.C10.306,0.095995753,-0.897969592,1,1,KH2013:KH.C10.306
KH2013:KH.C10.307,0.1769780231,-1.1199577371,1,1,KH2013:KH.C10.307_SUCLG1
KH2013:KH.C10.308,0.1168212117,6.2434125095,0.5649014222,1,ZNF862
