GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.202,0.1067613639,6.1232420178,0.6111076297,1,KH2013:KH.C10.202
KH2013:KH.C10.203,0.2155703216,4.1814041906,0.536944661,1,KH2013:KH.C10.203
KH2013:KH.C10.204,0.3207105111,1.7020492676,0.7542539009,1,KH2013:KH.C10.204
KH2013:KH.C10.205,0.2657604427,-0.5825143484,1,1,KH2013:KH.C10.205
KH2013:KH.C10.206,0.2770096061,1.6215082787,0.7984104408,1,KH2013:KH.C10.206
KH2013:KH.C10.207,0.3273676519,5.140308204,0.2137286077,1,KH2013:KH.C10.207
KH2013:KH.C10.208,-0.1565820936,6.2520044479,0.3857386054,1,KH2013:KH.C10.208
KH2013:KH.C10.209,0.10493707,6.855667354,0.5364008952,1,KH2013:KH.C10.209
KH2013:KH.C10.21,-0.1766575757,4.8897031301,0.4607745448,1,C11ORF49
KH2013:KH.C10.210,2.9054070011,-0.9300460248,1,1,KH2013:KH.C10.210
KH2013:KH.C10.211,-0.0037837526,6.0469710578,1,1,KH2013:KH.C10.211
KH2013:KH.C10.212,-0.1296937995,4.950391807,0.5863027011,1,KH2013:KH.C10.212
KH2013:KH.C10.213,-2.1976400017,-0.217205582,0.1361050944,1,KH2013:KH.C10.213
KH2013:KH.C10.214,0.4116131774,2.7212781982,0.3081696156,1,KH2013:KH.C10.214
KH2013:KH.C10.215,-0.6416384938,-0.9139208065,1,1,KH2013:KH.C10.215
KH2013:KH.C10.216,-0.4398938222,2.7612492457,0.3160569996,1,KH2013:KH.C10.216
KH2013:KH.C10.217,-0.3981906569,4.9170750439,0.1059876775,1,KH2013:KH.C10.217
KH2013:KH.C10.218,-0.04188045,5.6986362987,0.8122499008,1,KH2013:KH.C10.218
KH2013:KH.C10.219,-0.5041220361,2.0224068706,0.3826377508,1,KH2013:KH.C10.219
KH2013:KH.C10.22,-0.1230106154,6.6450341846,0.4800273074,1,SF1
KH2013:KH.C10.220,-0.4564624232,2.1279364104,0.4562019168,1,KH2013:KH.C10.220
KH2013:KH.C10.221,-0.079253255,5.1797855667,0.8563124372,1,KH2013:KH.C10.221_ZNFX1
KH2013:KH.C10.222,-0.0538055156,5.7625245147,0.7962439556,1,VPS29
KH2013:KH.C10.223,-0.2908452329,5.4235136243,0.2094169895,1,MKS1
KH2013:KH.C10.224,-0.1380659314,3.7510938184,0.781082523,1,NUDCD1
KH2013:KH.C10.225,-2.6988274649,-1.0227765841,1,1,KH2013:KH.C10.225
KH2013:KH.C10.226,0.0668831667,5.2426048582,0.7656163951,1,SNX1/2
KH2013:KH.C10.227,0,-1.4053514135,1,1,KH2013:KH.C10.227
KH2013:KH.C10.228,0.3197572055,1.7531105802,0.6936167588,1,MATN1/2
KH2013:KH.C10.229,0.133737126,8.8308455317,0.6306566806,1,PCTP
KH2013:KH.C10.23,0.1632550278,5.2186767196,0.5650213698,1,RALY
KH2013:KH.C10.230,0,-1.2989801135,1,1,KH2013:KH.C10.230
KH2013:KH.C10.231,-0.1609476372,6.8107461753,0.4509648267,1,AGXT2L1/2
KH2013:KH.C10.232,-0.0718873804,7.3849481941,0.6666525201,1,ETFA
KH2013:KH.C10.233,-0.6366919842,-0.8514019064,0.672331247,1,KH2013:KH.C10.233
KH2013:KH.C10.234,0.0512117978,6.4267838219,0.8402168162,1,NUB1
KH2013:KH.C10.235,-2.8269539062,-0.7818035932,0.5207599261,1,KH2013:KH.C10.235
KH2013:KH.C10.236,0.2482447688,4.5257156306,0.3735223434,1,HAUS6
KH2013:KH.C10.237,-1.6091492265,-0.6619527978,0.4258750876,1,KH2013:KH.C10.237
KH2013:KH.C10.238,0.0026493774,6.7743288811,1,1,AFTPH
KH2013:KH.C10.239,-0.4480290669,5.2367598948,0.0454132743,1,RPS27A
KH2013:KH.C10.24,0.356635404,2.1028315076,0.5593923387,1,KH2013:KH.C10.24_MIF
KH2013:KH.C10.240,-0.2778805591,5.5292298371,0.1748585404,1,ALDH6A1
KH2013:KH.C10.241,-0.2041930957,3.6298344619,0.652538975,1,KH2013:KH.C10.241_GXYLT1/2
KH2013:KH.C10.242,0.0476569921,6.2999560449,0.8110411872,1,NOL7
KH2013:KH.C10.243,0.2293670649,6.5921432065,0.1818205431,1,TMEM120B
KH2013:KH.C10.244,-1.114272312,-0.1652474249,0.6230978611,1,OBST-F
KH2013:KH.C10.245,0.1362896152,5.4854605385,0.557551742,1,MLLT10/6
