counts	countsheart15.promoter500	countsheart15.promoter1k	countsheart15.TSS	countsheart15.five_prime_utr	countsheart15.CDS	countsheart15.intron	countsheart15.TTS	countsheart15.three_prime_utr	countsheart15.intergenic	countsheart15.TSC	countsheart15.genome	countsasm15.promoter500	countsasm15.promoter1k	countsasm15.TSS	countsasm15.five_prime_utr	countsasm15.CDS	countsasm15.intron	countsasm15.TTS	countsasm15.three_prime_utr	countsasm15.intergenic	countsasm15.TSC	countsasm15.genome	log2OddsRatioheart15.promoter500	log2OddsRatioheart15.promoter1k	log2OddsRatioheart15.TSS	log2OddsRatioheart15.five_prime_utr	log2OddsRatioheart15.CDS	log2OddsRatioheart15.intron	log2OddsRatioheart15.TTS	log2OddsRatioheart15.three_prime_utr	log2OddsRatioheart15.intergenic	log2OddsRatioheart15.TSC	log2OddsRatioheart15.genome	log2OddsRatioasm15.promoter500	log2OddsRatioasm15.promoter1k	log2OddsRatioasm15.TSS	log2OddsRatioasm15.five_prime_utr	log2OddsRatioasm15.CDS	log2OddsRatioasm15.intron	log2OddsRatioasm15.TTS	log2OddsRatioasm15.three_prime_utr	log2OddsRatioasm15.intergenic	log2OddsRatioasm15.TSC	log2OddsRatioasm15.genome	pheart15.promoter500	pheart15.promoter1k	pheart15.TSS	pheart15.five_prime_utr	pheart15.CDS	pheart15.intron	pheart15.TTS	pheart15.three_prime_utr	pheart15.intergenic	pheart15.TSC	pheart15.genome	pasm15.promoter500	pasm15.promoter1k	pasm15.TSS	pasm15.five_prime_utr	pasm15.CDS	pasm15.intron	pasm15.TTS	pasm15.three_prime_utr	pasm15.intergenic	pasm15.TSC	pasm15.genome	fdrheart15.promoter500	fdrheart15.promoter1k	fdrheart15.TSS	fdrheart15.five_prime_utr	fdrheart15.CDS	fdrheart15.intron	fdrheart15.TTS	fdrheart15.three_prime_utr	fdrheart15.intergenic	fdrheart15.TSC	fdrheart15.genome	fdrasm15.promoter500	fdrasm15.promoter1k	fdrasm15.TSS	fdrasm15.five_prime_utr	fdrasm15.CDS	fdrasm15.intron	fdrasm15.TTS	fdrasm15.three_prime_utr	fdrasm15.intergenic	fdrasm15.TSC	fdrasm15.genome
BHLHA15_1	788	1	1	1	1	1	1	0	0	1	0	2	2	3	1	1	2	3	0	0	3	1	7	1.37810471448192	1.17879590625851	1.81106412175803	1.60943026058838	0.775440212027305	-0.114935296798197	-Inf	-Inf	0.202254879082502	-Inf	-0.28486029824051	0.00370919970042173	0.936595003841885	-0.259325206133372	0.250349167283547	0.0885980972869349	0.155712293145472	-Inf	-Inf	1.16336586568891	1.37810471448192	0.182123923976267	0.327163686523059	0.364203711293299	0.257083197862445	0.287968692376954	0.448136499979233	0.663842720008048	1	1	0.584256101369389	1	0.700762904456428	0.594871608387196	0.212550272648208	0.699866446640639	0.572310633414454	0.563359317146795	0.507232126906046	1	1	0.156356278986878	0.327163686523059	0.423132711610513	0.998084064709988	0.906432147983592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BSX_1	792	2	0	2	1	0	2	0	0	1	1	3	2	2	1	2	2	4	0	0	1	1	7	2.42514334380934	-Inf	2.87765554850685	1.60202110589342	-Inf	0.896764371454555	-Inf	-Inf	0.19484572438755	3.80365496706307	0.30115462653389	-0.00369995499453079	0.33116719560033	-0.266734360828325	1.26760206682286	0.0811889425919824	0.570994210272798	-Inf	-Inf	-0.45937943877072	1.37069555978697	0.174714769281315	0.059114227649607	1	0.0350221588589286	0.2892039528194	1	0.296541595546657	1	1	0.586117408654267	0.0817895281941565	0.442417939180669	0.597633810460675	0.475200874727096	0.701707485597276	0.207833111332525	0.566113636570081	0.287775272679024	1	1	0.748574376474086	0.328525346061454	0.428213263101897	0.685657997284913	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CART1_1	1090	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	2	0	0	0	0	3	-Inf	-Inf	-Inf	-Inf	-Inf	-0.590895934921128	-Inf	-Inf	-Inf	-Inf	-1.76923317617964	-1.48251977387634	-1.15032334353515	-0.735285844256302	-Inf	-1.39825085697873	-0.91282402980849	-Inf	-Inf	-Inf	-Inf	-1.52949539025698	1	1	1	1	1	0.779555733779579	1	1	1	1	0.96663613035644	0.938591195930882	0.891368229865202	0.811627353761915	1	0.928124338261381	0.88941143605777	1	1	1	1	0.991700803901724	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDX1_1	1824	1	1	0	1	1	1	0	0	1	0	3	5	3	3	2	1	4	3	2	4	0	12	0.139983433356437	-0.0593253748669699	-Inf	0.371308979462892	-0.462681069098178	-1.35305657792368	-Inf	-Inf	-1.03586640204298	-Inf	-0.92955749989664	0.118766947446741	-0.301526277283598	0.122281431622978	0.036889940392333	-2.16041149998128	-0.659717916157732	1.12228143162298	1.03688994039233	0.355712124411874	-Inf	-0.261633550160085	0.60382418043958	0.652922292182641	1	0.547784919413156	0.750681003775044	0.921711076480679	1	1	0.871372311579265	1	0.92278065684073	0.492136043840522	0.715275224724754	0.525131198525577	0.585109085265653	0.988149005943412	0.873876466341069	0.171594785111809	0.267232614434647	0.387885073788503	1	0.770446638223895	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
CDX2_1	1799	2	1	1	2	1	2	0	0	1	1	4	5	3	3	2	1	4	3	2	4	0	12	1.21500624764268	-0.0387503446031051	0.593517870896408	1.45601434714647	-0.442106038834314	-0.313372724712111	-Inf	-Inf	-1.01529137177912	2.59351787089641	-0.485433470498414	0.139341977710606	-0.280951247019733	0.142856461886842	0.057464970656198	-2.13983646971742	-0.639142885893867	1.14285646188684	1.0574649706562	0.376287154675739	-Inf	-0.241058519896221	0.226145092397985	0.647767415685632	0.495760886533093	0.178971788209887	0.745809198468552	0.711622509121524	1	1	0.867644090170202	0.177661624145333	0.808778605277811	0.480024819681829	0.706450008117505	0.515793489522453	0.577516389267424	0.987393579849952	0.867005746739041	0.166785797782326	0.262064496134097	0.378052675353636	1	0.754506812243334	0.998084064709988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DBP_1	2862	1	2	0	0	1	1	0	0	1	0	5	10	7	5	2	5	5	1	0	3	0	19	-0.53779772018398	0.31019918637097	-Inf	-Inf	-1.1404622226386	-2.0308377314641	-Inf	-Inf	-1.7136475555834	-Inf	-0.85329954591191	0.494623757508397	0.296524249473893	0.217089781979489	-0.640891213148084	-0.472209378556403	-1.00787658302079	-1.20917497272261	-Inf	-0.752536568976993	-Inf	-0.252659127643322	0.769338874212556	0.490940533131368	1	1	0.889251179331148	0.982323623742751	1	1	0.961184601093242	1	0.943764921533525	0.189959518306946	0.355065580830313	0.438455631637197	0.817671403396763	0.819191236666351	0.96998944082779	0.900272918008277	1	0.877853001760064	1	0.802772403187195	1	0.906432147983592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DBP_2	976	0	0	0	0	0	0	0	0	1	0	1	2	2	2	1	4	5	1	0	1	0	9	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-Inf	-0.111343458357891	-Inf	-1.6068708754971	-0.309889137739972	0.0249780128548887	0.44435444785807	-0.0632491701568466	0.79702606617654	0.59442751420472	0.393129124502897	-Inf	-0.765568621516162	-Inf	0.237774821558209	1	1	1	1	1	1	1	1	0.663424096920176	1	0.952237300948052	0.709755336399871	0.587387062686652	0.436673849133089	0.651384538203961	0.205739928758373	0.24361045485252	0.538219208542673	1	0.818079951666052	1	0.358969327056314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX1_1	925	0	1	0	0	1	1	0	0	0	0	2	4	3	1	0	2	3	1	0	0	0	8	-Inf	0.943959738346291	-Inf	-Inf	0.540604044115082	-0.34977146471042	-Inf	-Inf	-Inf	-Inf	-0.519696466152732	0.789631591954997	0.701758835929662	-0.494161374045595	-Inf	-0.146238070625288	-0.0791238747667509	0.471891294031068	-Inf	-Inf	-Inf	0.143268546569697	1	0.41273053563201	1	1	0.502753396327105	0.722323056673937	1	1	1	1	0.780791516789875	0.207884681143167	0.286086964383327	0.756957878290801	1	0.650608977879623	0.615497037939426	0.519030932629812	1	1	1	0.439856171310922	1	0.906432147983592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX2_1	970	1	0	1	1	0	1	0	0	2	1	3	3	2	2	3	4	8	1	1	1	1	10	1.07355982835369	-Inf	1.5065192356298	1.30488537446015	-Inf	-0.419480182926422	-Inf	-Inf	0.921556734908645	3.5065192356298	0.00401889510061807	0.294468758514812	0.0340314641670575	0.453407899170239	1.58051981707358	0.806079517488709	1.30488537446015	0.402182575815066	0.921556734908645	-0.756515170203993	1.07355982835369	0.402182575815066	0.386500791897889	1	0.30678089144408	0.342140977175032	1	0.739245898634112	1	1	0.291016370599321	0.0993821105405248	0.577255572111411	0.445944932481342	0.584018567344148	0.43357157844381	0.0856368217055584	0.202788583481014	0.0192120060855259	0.536001192918838	0.417798322377038	0.816147122701244	0.386500791897889	0.234143768579415	0.998084064709988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
DLX3_1	970	1	0	1	1	0	1	0	0	2	1	3	3	2	2	3	4	8	1	1	1	1	10	1.07355982835369	-Inf	1.5065192356298	1.30488537446015	-Inf	-0.419480182926422	-Inf	-Inf	0.921556734908645	3.5065192356298	0.00401889510061807	0.294468758514812	0.0340314641670575	0.453407899170239	1.58051981707358	0.806079517488709	1.30488537446015	0.402182575815066	0.921556734908645	-0.756515170203993	1.07355982835369	0.402182575815066	0.386500791897889	1	0.30678089144408	0.342140977175032	1	0.739245898634112	1	1	0.291016370599321	0.0993821105405248	0.577255572111411	0.445944932481342	0.584018567344148	0.43357157844381	0.0856368217055584	0.202788583481014	0.0192120060855259	0.536001192918838	0.417798322377038	0.816147122701244	0.386500791897889	0.234143768579415	0.998084064709988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
