"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C11.26",170.367399420686,-1.78780572113564,0.846970918455774,-2.11082303084884,0.0347875257757109,0.262361888497748,15,14,26,17,171,523,46,12,272,356,44,13,1,13,22,18
"KH2013:KH.C11.44",273.408169102356,0.686591879837051,0.30257540657963,2.26915957115754,0.0232586238205003,0.2078886704521,285,215,238,364,533,323,164,137,45,92,36,95,726,283,612,442
"KH2013:KH.C11.499",11.9253512235028,2.05794622685348,1.3827577680554,1.48829120645449,0.13667411299696,NA,6,12,2,8,4,17,2,2,0,1,30,8,4,12,8,5
"KH2013:KH.C11.165",164.13257087194,-0.256253060161572,0.700998055407724,-0.365554594887609,0.714697461376676,0.919374506937053,242,262,206,258,46,47,110,73,8,0,78,30,339,347,214,182
"KH2013:KH.C11.684",20.7450097091012,0.913461102944971,0.903314874963138,1.01123221621059,0.311905299908918,NA,42,27,18,34,52,2,7,6,5,0,21,23,91,21,23,27
"KH2013:KH.C11.233",28.5962268010766,-0.795074408839693,0.967116043069617,-0.822108592383737,0.411015095673924,0.782594273255114,53,37,20,35,5,22,49,23,12,21,124,57,112,124,57,41
"KH2013:KH.C11.94",1448.59364293318,-0.0780550287835342,0.274284598268856,-0.284576783662581,0.775968400059735,0.93802889506796,1025,1116,756,1078,2458,1658,1445,1215,593,1507,3129,1598,6403,2697,2363,1283
"KH2013:KH.C11.426",16.3087753024038,1.12199753533336,1.03656876968195,1.08241495224443,0.279068187264331,NA,7,14,8,13,31,49,28,11,7,3,11,15,65,7,27,14
"KH2013:KH.C11.7",1235.4356673563,0.343560159837749,0.261571610421369,1.31344590219215,0.189032738668035,0.578720511379843,1164,1187,652,1143,2174,1803,1712,1274,1108,978,950,885,2680,1722,1818,1281
"KH2013:KH.C11.50",211.219470384831,-0.108541524271547,0.384496824607444,-0.282294982233894,0.777717332782659,0.938687529611746,213,241,153,205,468,473,250,210,84,59,554,188,1019,369,356,194
"KH2013:KH.C11.636",2055.6265149542,-1.12638930101501,0.239713626698832,-4.69889558022567,2.61572140688651e-06,0.000279247306700234,1908,1927,1348,1844,3483,3287,2663,2032,2373,3221,7330,2826,3469,2401,3169,2257
"KH2013:KH.C11.5",1227.67110233892,0.0289136413761649,0.219953636058003,0.131453345779381,0.895416690908184,0.972096518111503,1455,1687,863,1043,1701,1560,1328,1103,754,992,2934,799,3187,1878,2680,1545
"KH2013:KH.C11.592",66.8332221927709,0.341216543868451,0.504151130660048,0.676814001035208,0.498523973671297,0.831603475636109,81,71,57,99,76,58,49,93,49,54,97,34,155,136,224,129
"KH2013:KH.C11.156",46.1279216048381,1.16334853847136,0.68477447237672,1.69887836857235,0.0893421035450252,0.416450093506188,43,79,41,79,49,21,61,46,21,26,19,29,372,75,112,70
"KH2013:KH.C11.517",98.5017668526272,0.701290063010365,0.469482012300034,1.49375278421144,0.135240246575597,0.500347985821486,50,76,61,61,136,210,104,89,36,37,48,87,334,213,134,73
"KH2013:KH.C11.187",46.4649280712972,-0.277162049540018,1.20496258676661,-0.230017141265566,0.818078449998924,0.947457310951704,2,3,3,1,99,482,0,6,42,44,36,22,17,7,10,13
"KH2013:KH.C11.99",17348.0680463406,0.105438449292907,0.346278060204587,0.304490701000844,0.760754076163658,0.932878786609708,5786,5824,2690,3633,27811,68832,9354,8682,27618,43262,4950,7600,15187,7616,6000,4508
"KH2013:KH.C11.524",4.03880971704828,0.683658390793882,2.61713845620641,0.261223623523861,0.79392006147063,NA,0,1,0,0,2,1,0,3,7,0,0,11,0,1,0,0
"KH2013:KH.C11.659",3.54748139882452,1.79660070518462,2.38189535743363,0.754273566039595,0.450684971596952,NA,0,1,0,0,5,3,0,0,0,0,1,4,1,3,1,0
"KH2013:KH.C11.184",63.9776666860095,0.786470228202097,0.821338248579476,0.957547307168899,0.338291080642628,0.732998138707964,3,7,77,12,2055,269,24,33,80,89,91,50,19,24,21,27
"KH2013:KH.C11.536",44.1345999163315,0.139458143690274,0.565760253714935,0.24649689117352,0.805297610697502,0.943770760025451,41,80,38,31,102,48,33,37,21,21,46,51,213,86,101,58
"KH2013:KH.C11.723",275.589252572314,0.506395521022807,0.340781152432676,1.48598453115112,0.137283212657007,0.502735593173478,258,324,243,283,440,305,301,341,201,232,335,256,512,506,620,450
"KH2013:KH.C11.610",100.987440709352,-0.313095300918758,0.367064816298391,-0.852970066911123,0.393675903850672,0.772459000489291,102,96,40,73,267,175,92,74,52,64,131,72,435,193,220,142
"KH2013:KH.C11.66",125.790957443253,0.148902381079596,0.425111120219355,0.350266963147807,0.72613835632255,0.924477936982752,85,92,65,65,357,236,71,47,30,53,363,113,256,141,194,99
"KH2013:KH.C11.239",36.6011897935715,-2.9202858496514,0.867400576187435,-3.36670960317688,0.000760707479646599,0.0254121849535854,6,16,21,14,26,9,4,5,18,24,82,54,45,11,21,30
"KH2013:KH.C11.79",28.960042534595,-2.58607338486321,1.09335790739023,-2.36525786056278,0.0180175210620958,0.180963339330653,15,31,11,37,29,86,21,12,1,8,138,54,71,18,53,11
"KH2013:KH.C11.415",27.1968183471801,-2.24765710616529,1.00961110023236,-2.22626029532361,0.0259967513319507,0.220210737385037,9,25,17,37,98,108,13,33,6,19,53,21,23,38,13,12
"KH2013:KH.C11.708",0.921756637710587,0.653278146440553,3.14692761371108,0.207592365199071,0.83554726619409,NA,2,1,2,0,2,1,3,0,0,1,0,3,1,0,0,0
"KH2013:KH.C11.657",35.3139300910343,0.481439757660299,1.09104591279082,0.441264434444203,0.659021570631203,0.901819457894231,35,9,4,4,80,51,16,29,35,49,243,17,69,6,9,7
"KH2013:KH.C11.310",384.28028007637,-0.324157517021098,0.375327182009711,-0.863666509005231,0.387771116589734,0.768447219590641,331,336,216,201,894,938,402,345,321,350,327,188,1053,389,409,324
"KH2013:KH.C11.643",0.0473000025300512,-0.408420595948544,8.4119877386995,-0.0485522100881814,0.961276155838519,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"KH2013:KH.C11.714",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
