"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.L147.3",727.171441365173,-0.217103959980565,0.275387026173378,-0.788359433620818,0.430486492205545,0.883950748613808,762,767,524,639,1105,1080,1169,843,482,496,679,558,2165,863,1063,756
"KH2013:KH.L147.19",1030.5230050349,0.496264786806498,0.304626038027232,1.62909510303297,0.103292887736189,0.647252585735864,1019,1017,678,1115,1734,1572,1128,813,815,987,975,795,2945,1137,1493,1396
"KH2013:KH.L147.17",2.96367872555403,-2.30696847438335,1.96337527912648,-1.175001284222,0.239994202013605,NA,1,7,1,0,3,0,2,2,0,1,0,1,2,6,13,0
"KH2013:KH.L147.28",6041.02012723811,-0.153522101145446,0.174687479594982,-0.878838606529735,0.379488790326448,0.870354954695271,4746,4777,2905,4196,9047,9776,5649,4526,4375,5488,8239,5210,5924,3039,4311,3280
"KH2013:KH.L147.15",286.882727804408,-0.0708595674650284,0.281392567232044,-0.251817481044535,0.801182144727839,0.981990796578629,217,211,175,243,445,613,279,229,165,182,253,154,714,251,350,287
"KH2013:KH.L147.33",338.696640473118,-0.0560269505670496,0.302314033033423,-0.185326992613854,0.852972567684708,0.986206704418403,331,342,241,378,741,704,404,288,222,386,356,258,509,424,414,375
"KH2013:KH.L147.23",207.600069161195,0.690138347523629,0.378490816907479,1.82339522306648,0.0682435532919368,0.569226639020647,204,210,174,265,403,191,356,244,140,160,487,220,306,186,325,263
"KH2013:KH.L147.9",88.0692433888434,0.00621344019690272,0.373570680388152,0.0166325692113919,0.98672974167516,0.998019455865778,101,134,110,82,133,122,127,76,82,108,55,109,97,112,100,76
"KH2013:KH.L147.11",394.136113472313,-0.613136903988534,0.185707961804604,-3.3016188322268,0.000961286057322024,0.0645347886228933,344,488,253,433,606,750,347,292,181,268,659,287,819,602,525,490
"KH2013:KH.L147.32",42.260004651687,-0.232872455827227,0.699667969255096,-0.332832809361211,0.739260490568328,0.966850083219629,32,16,25,9,42,4,39,27,21,19,94,40,65,131,30,37
"KH2013:KH.L147.40",6.74509932283393,-1.52501669331083,1.4936353069534,-1.02101007268061,0.307249666501049,NA,9,4,0,1,7,28,2,6,2,13,11,5,0,0,7,1
"KH2013:KH.L147.5",161.696098230779,0.406987747878743,0.459939575249655,0.884872208828365,0.376225558511535,0.868967354367692,99,121,49,218,268,250,104,131,97,101,106,128,376,174,185,140
"KH2013:KH.L147.38",231.543871438896,-0.311905237280618,0.390604152889834,-0.798520023335715,0.424568778146035,0.883143636499889,104,95,134,201,639,954,72,100,222,298,387,110,659,294,239,175
"KH2013:KH.L147.27",267.553505695998,-0.244592299175558,0.300126625102292,-0.814963681053601,0.415093099633503,0.880082318910935,298,330,190,224,159,229,281,190,163,172,427,121,1352,628,787,421
"KH2013:KH.L147.22",1098.5411752903,-0.0190432098259411,0.278603254397658,-0.0683524313709567,0.945505087486229,0.996568612106416,910,970,639,865,2054,1779,1742,1217,1154,1007,1553,810,2205,1054,1219,1017
"KH2013:KH.L147.39",4.59521246760578,-1.07845002928894,1.35275201008197,-0.797226706189547,0.425319378453968,NA,1,14,0,2,2,10,4,5,0,0,2,6,9,4,2,2
"KH2013:KH.L147.10",277.123479934699,0.108511204974628,0.263338858701637,0.412059220996213,0.68029601710354,0.955370378669981,404,445,227,278,365,400,293,279,171,271,576,296,1005,320,553,327
"KH2013:KH.L147.30",57.5679385847004,-0.519300146827541,0.9223652933254,-0.563009201002469,0.573428618593266,0.930942062940584,38,52,79,38,6,88,33,37,1,2,66,102,158,46,98,60
"KH2013:KH.L147.18",14.2545357984481,-0.0901154984146084,0.663006579543155,-0.135919463237759,0.891884948824305,NA,9,25,25,15,33,12,9,10,9,8,7,2,58,20,16,26
"KH2013:KH.L147.37",3.03715201656665,-2.88181817588511,1.78553479348925,-1.61398040877911,0.106531675815287,NA,4,6,0,2,0,1,3,2,1,1,36,5,1,3,10,5
"KH2013:KH.L147.6",146.80975719161,0.145059871083416,0.578174893476844,0.250892719002552,0.801897053807523,0.981990796578629,74,127,23,69,282,442,137,106,69,111,361,242,133,315,131,59
"KH2013:KH.L147.24",6.74567484085125,-0.448814205669742,1.21138923347715,-0.370495455355397,0.71101336212913,NA,5,13,6,7,29,0,21,6,2,1,30,21,0,1,0,10
"KH2013:KH.L147.20",493.992976144359,0.302613321220519,0.366702633213488,0.825228110768277,0.409242096845599,0.879318014159853,281,242,299,424,1900,1642,1045,650,421,535,1109,244,197,185,543,434
"KH2013:KH.L147.35",302.833534240235,-0.149207083010169,0.313267607727679,-0.476292726504534,0.633865846486996,0.943276445886544,326,288,167,245,817,1051,354,242,184,439,510,323,710,392,369,459
"KH2013:KH.L147.4",10.8154843698361,-1.73681328697857,1.26059228771746,-1.37777559318835,0.168272583768598,NA,11,3,18,11,36,8,17,10,17,11,17,8,56,17,26,19
"KH2013:KH.L147.12",1567.32350323488,0.140748271228447,0.207437977177022,0.678507731052239,0.497449823655822,0.907450370686594,2300,2119,1650,1813,936,969,1123,1027,450,589,2354,954,5291,3101,5552,2987
"KH2013:KH.L147.14",63.8985664179064,-0.538278552209947,0.507551487746233,-1.06053979784427,0.288899094349188,0.829101479247941,55,69,18,42,129,173,129,69,68,60,98,74,126,135,91,84
"KH2013:KH.L148.1",1749.9405942374,0.217064498197762,0.237837224491705,0.912659902846003,0.361421438627903,0.86268711293698,1539,1553,1500,1921,2779,3217,2001,1560,1186,1721,1812,1673,2933,1493,2523,2436
