"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C4.332",292.272113869024,0.368726712772215,0.57891112825247,0.636931464567405,0.524169486568105,NA,155,350,336,211,1147,539,351,203,163,171,882,506,177,108,233,137
"KH2013:KH.C4.27",2723.50278242936,-1.2170463678946,0.687345219182991,-1.77064789850613,0.0766192715346155,0.999929152946801,153,106,187,235,4035,10291,581,751,4891,8053,126,591,615,157,75,34
"KH2013:KH.C4.288",409.589626615863,0.181290047829173,0.196623380030162,0.92201673982699,0.356519844054664,0.999929152946801,432,426,264,449,876,542,629,393,294,354,690,296,1270,683,604,446
"KH2013:KH.C4.476",261.010258253218,0.299732166100098,0.459394129338574,0.652451015278854,0.514110263310797,NA,220,312,163,199,332,264,295,260,135,310,532,323,970,466,392,265
"KH2013:KH.C4.653",168.834284435006,0.0983894735956174,0.471415761040104,0.208710615399317,0.834674152747706,NA,142,190,76,82,324,258,200,236,209,346,173,373,280,169,186,144
"KH2013:KH.C4.749",35.1300940456081,0.203759682644383,0.656226956362758,0.310501847979172,0.756179354400687,NA,44,41,29,19,75,86,32,33,30,33,65,32,48,53,68,45
"KH2013:KH.C4.305",254.748330240063,-0.457889345017564,0.325322214846563,-1.40749485931517,0.159280700537444,NA,199,230,183,234,448,444,286,221,121,143,59,186,1006,452,504,353
"KH2013:KH.C4.723",1703.86754162661,0.168231451205837,0.218698384597381,0.769239569444227,0.441751104156958,0.999929152946801,1324,1414,1053,1249,2773,3504,1645,1362,1102,1597,2849,1510,2919,1449,1824,1422
"KH2013:KH.C4.659",21.181918615246,0.429736425207119,0.79107903034676,0.543228184191344,0.586972703564122,NA,13,17,13,13,40,33,16,15,18,5,14,18,69,49,42,15
"KH2013:KH.C4.378",93.2647154415403,-0.0997690846109905,0.72740622020954,-0.137157315732398,0.890906449088501,NA,120,84,99,103,90,38,80,43,24,40,109,104,85,107,107,92
"KH2013:KH.C4.627",10.6443152985699,-0.956708481561015,1.59005763876911,-0.601681636083092,0.547386076201356,NA,10,6,6,6,0,17,6,6,0,0,20,23,15,24,15,16
"KH2013:KH.C4.30",1098.23509965705,-0.088532485796767,0.201433487713267,-0.439512251919053,0.660290406404315,0.999929152946801,1093,1170,910,936,1854,1806,1094,1053,831,824,969,893,3923,2147,1726,1201
"KH2013:KH.C4.709",9.05569650332976,-0.171585861034036,0.941056392936615,-0.182333239880124,0.855321214234631,NA,6,18,3,9,13,3,5,4,5,17,29,10,39,21,10,19
"KH2013:KH.C4.539",691.797349095069,-0.868126732134486,0.592805685030559,-1.46443725837369,0.143074514238581,0.999929152946801,496,734,267,523,222,104,579,411,345,685,899,1050,526,372,460,271
"KH2013:KH.C4.20",14.7788205673379,0.354681546673834,1.16112347399821,0.305464108354061,0.760012701842583,NA,2,12,2,1,8,8,27,15,2,5,53,19,14,17,26,7
"KH2013:KH.C4.381",356.97723472514,-0.15464486878243,0.298920468662081,-0.517344528043178,0.604915675545503,NA,243,257,243,319,777,603,378,254,147,224,273,218,827,426,458,451
"KH2013:KH.C4.51",33.064197923371,-0.444462537880993,0.601631482468276,-0.738762100775586,0.46005146899573,NA,39,37,22,50,13,5,23,18,6,21,47,37,152,63,62,59
"KH2013:KH.C4.502",17.8046609378823,-1.01398546601088,1.05554611345195,-0.96062640285307,0.336740048259568,NA,15,12,10,23,10,0,22,14,0,5,23,6,36,27,45,38
"KH2013:KH.C4.797",22.885178519151,0.145873188438365,1.11684082878963,0.130612334970288,0.896081984429239,NA,43,14,15,17,11,3,5,7,3,8,22,55,16,83,6,19
"KH2013:KH.C4.139",33.1920478839865,0.767180131157251,1.02124555297905,0.751220045873718,0.452520238055339,NA,19,29,9,11,75,90,19,29,15,19,152,55,129,44,13,23
"KH2013:KH.C4.68",73.2311657163561,0.169717585985152,0.494480911994237,0.343223735979378,0.731430149323022,NA,76,91,46,101,91,100,96,59,42,66,116,36,231,174,152,56
"KH2013:KH.C4.54",12.9133923595356,-1.01293056853225,0.797822078433443,-1.26961962562027,0.204220155152768,NA,8,29,9,18,7,25,17,7,13,9,11,9,69,104,25,16
"KH2013:KH.C4.531",166.549283037504,0.136748495100619,0.324013660475394,0.422045462219035,0.67299183441615,NA,243,254,164,244,148,105,139,157,88,110,306,118,738,427,616,301
"KH2013:KH.C4.758",333.524626392649,0.098989643316728,0.270488502228268,0.365966177864335,0.714390313610313,NA,316,246,269,316,413,349,258,186,163,215,544,251,1052,477,651,377
"KH2013:KH.C4.145",19.873521099698,1.37254029459297,0.80934084049953,1.69587425459196,0.0899096962757572,NA,19,26,6,23,5,7,18,3,3,10,58,51,40,41,47,22
"KH2013:KH.C4.434",148.264521690415,-0.128396831543265,0.283609618509618,-0.452723825863159,0.650747620855292,NA,126,139,106,163,108,174,113,166,77,99,131,101,285,197,308,307
"KH2013:KH.C4.549",264.757825272467,-0.303644674651732,0.303388782599257,-1.00084344599126,0.316902501525949,NA,156,288,183,151,600,410,300,245,206,267,135,206,658,227,292,285
"KH2013:KH.C4.441",354.596384020369,0.367536295025873,0.490059421305244,0.749983122550652,0.453264869681586,NA,322,293,194,102,826,1146,265,290,203,323,863,249,319,219,168,165
"KH2013:KH.C4.406",22.5762880563134,-0.413442018712441,0.992755483511658,-0.416459063262969,0.677074116765506,NA,50,16,13,10,25,5,0,19,37,2,10,49,23,66,29,26
"KH2013:KH.C4.184",712.665373552117,0.116009920284572,0.210846797939447,0.550209542750033,0.58217565906237,0.999929152946801,710,870,377,652,933,764,900,669,400,582,1251,689,1757,1493,1205,820
"KH2013:KH.C4.472",34.6355839553504,0.276316956953355,1.11858278101489,0.247024146664096,0.804889536712994,NA,13,36,46,43,31,52,18,6,3,12,85,77,42,20,21,30
"KH2013:KH.C4.45",4843.17980515987,0.679644307407356,0.236299300608114,2.87620109606037,0.00402493197548924,0.313944694088161,5635,5627,2827,4174,7454,5453,6810,5816,6683,9886,9152,6946,9383,5923,6377,4496
"KH2013:KH.C4.136",2575.77213817971,-0.00418521790168537,0.294803464843084,-0.0141966374238954,0.988673102664439,0.999929152946801,2228,2237,1962,2216,7718,4508,3205,2476,2008,1916,4017,2304,5651,2821,3779,2794
"KH2013:KH.C4.414",781.408978614966,0.182167050652467,0.289595224058848,0.6290402448607,0.529322709124174,0.999929152946801,848,958,476,535,1868,724,925,683,467,851,2828,676,1177,1190,1382,847
"KH2013:KH.C4.36",1632.1535734325,-0.280702822953658,0.291103936330579,-0.964270103977193,0.334910525320663,0.999929152946801,1187,1611,398,736,3460,1859,1591,1317,2501,3398,4212,1789,2229,1033,650,433
"KH2013:KH.C4.129",22.5322472123689,-1.60964379370245,1.1704691693032,-1.37521246686122,0.169065584384931,NA,13,42,30,8,475,11,13,17,15,21,28,22,19,9,23,19
"KH2013:KH.C4.382",38.0275869877183,0.568163899243493,0.79438689109671,0.715223155884535,0.47447116284106,NA,15,20,40,20,325,76,90,44,21,56,68,66,62,17,1,6
"KH2013:KH.C4.606",110.962137371753,0.211626697985333,0.558719348640095,0.378771020728788,0.704857908826543,NA,125,135,142,201,177,345,188,124,24,32,165,83,368,149,348,423
"KH2013:KH.C4.16",29.536439383546,0.0137904582142556,0.651448254440626,0.0211689234260009,0.983110904238604,NA,40,36,24,39,37,30,24,35,28,25,36,28,57,37,80,41
"KH2013:KH.C4.800",760.172331460179,0.0735979485950476,0.208186885832985,0.353518658490768,0.723699643202125,0.999929152946801,836,888,551,862,548,755,872,658,492,695,782,637,2519,1082,1369,1004
"KH2013:KH.C4.603",709.18019545044,0.133977570736791,0.230593398687459,0.581012169036031,0.561232252029995,0.999929152946801,713,638,475,703,995,890,757,645,459,650,1017,683,1360,822,1308,950
"KH2013:KH.C4.317",1294.59690489957,0.0273282677195881,0.328488885644911,0.0831938884809922,0.933697372180745,0.999929152946801,1069,1050,826,959,2670,3642,1325,1320,1020,1802,2114,1361,3360,1711,2830,1559
"KH2013:KH.C4.135",1274.6120384995,0.0191889655610761,0.24575653200215,0.0780812025818635,0.937763459704794,0.999929152946801,870,904,651,900,2796,2588,1446,1343,835,1522,836,701,1528,1172,1937,1620
"KH2013:KH.C4.48",57.0131336496579,0.0673513778376119,0.378773337810891,0.177814463464792,0.858868688163024,NA,54,60,62,111,64,35,35,56,38,91,17,55,203,113,69,39
"KH2013:KH.C4.713",39.5637775689487,0.383134220753802,0.894103685374976,0.428512069708247,0.668278348084937,NA,4,4,13,43,0,0,14,48,8,11,13,33,53,29,71,84
"KH2013:KH.C4.775",26.9255605052388,-0.949913492887516,1.04709308619966,-0.907191065825058,0.364305767432516,NA,8,36,33,24,0,2,6,18,1,0,31,16,32,13,61,97
"KH2013:KH.C4.222",680.638674829418,-0.0946859802590352,0.309269795419977,-0.306159805002797,0.75948297479546,0.999929152946801,633,532,336,517,1316,1008,510,636,513,549,1617,634,1046,694,842,595
"KH2013:KH.C4.697",1000.83629115242,0.343108892645066,0.724641629423747,0.473487692002894,0.635865279960078,0.999929152946801,170,127,236,55,3107,4770,279,302,1958,1280,186,211,110,93,84,160
"KH2013:KH.C4.210",3.14268540569535,-0.506469093274743,2.29909559684566,-0.22029057598545,0.825644859178075,NA,1,0,2,0,4,13,2,2,5,3,2,2,19,6,2,2
"KH2013:KH.C4.562",13.2784927944812,0.610898188329212,1.49336741868745,0.409074271130237,0.682485157083721,NA,2,8,3,5,0,8,4,2,6,1,46,44,8,24,1,15
"KH2013:KH.C4.421",417.132066836551,-0.429760477199289,0.25965260081991,-1.6551364239843,0.0978968278515877,0.999929152946801,481,434,245,264,608,967,337,347,291,392,940,491,623,719,569,572
"KH2013:KH.C4.639",11.2398587639988,0.0673704494068994,1.30343086852641,0.0516870138905525,0.958778084822816,NA,3,9,2,1,21,11,3,10,2,2,8,9,36,10,12,25
"KH2013:KH.C4.109",624.654851512449,-0.0160158970922212,0.306816697821756,-0.0522002133714559,0.958369162921221,0.999929152946801,464,594,424,633,1733,1549,579,522,280,513,1174,361,961,553,859,501
"KH2013:KH.C4.243",18.0270606045646,-0.392011566149533,0.945483232855456,-0.414615037609517,0.678423738082109,NA,4,14,5,14,53,36,11,7,16,15,3,6,39,11,80,40
"KH2013:KH.C4.579",1612.01613518934,-0.0817737987003582,0.157247897675592,-0.52003110953547,0.603041892388943,0.999929152946801,1647,1590,1197,1772,2519,2909,1575,1392,1015,1526,1670,1099,3895,1676,2646,2218
"KH2013:KH.C4.660",24.7995360114666,0.069711024535225,0.764249724054311,0.0912149816232986,0.927321770965485,NA,18,20,4,23,46,62,1,8,10,6,31,26,48,8,11,33
