"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.L41.19",2.71707960749434,-2.98316368438044,2.05649790636845,-1.45060380326298,0.146890215654443,NA,0,5,4,5,0,2,0,2,1,0,4,0,1,3,0,0
"KH2013:KH.L41.52",1.33695734354801,-3.98259360442365,3.25901899013185,-1.22202221480843,0.22169922631052,NA,2,3,0,0,0,3,1,0,0,0,0,0,9,6,0,3
"KH2013:KH.L41.56",200.052882724928,-0.303728875183338,0.691096290191364,-0.439488504704947,0.660307609572762,0.813198834442356,365,178,165,266,149,82,216,140,75,63,110,84,190,168,398,283
"KH2013:KH.L41.22",26.9172470537686,0.280410605246839,0.952691275104502,0.294335229653573,0.768501754916268,0.881215730766587,11,32,3,17,27,16,10,8,2,3,66,13,60,36,44,10
"KH2013:KH.L41.65",7.58053346797215,-4.46183603693357,1.54323427127006,-2.8912240480906,0.00383744436083816,NA,0,3,1,3,0,0,4,11,2,2,9,1,20,13,26,7
"KH2013:KH.L41.36",33.1139716006299,0.45443950740324,0.603072916499203,0.753539903667421,0.451125541839945,0.664552349242242,27,80,37,43,27,13,39,31,28,30,21,50,152,63,100,41
"KH2013:KH.L41.20",4.64507664348582,0.0169591880028304,1.53377598543467,0.0110571479563388,0.991177852126223,NA,1,7,4,2,2,1,3,0,0,1,3,5,25,3,18,4
"KH2013:KH.L41.7",152.910352352175,1.46454888646162,0.857008967862351,1.70890730596981,0.0874681209860138,0.249335987914727,106,131,105,178,78,105,72,45,20,10,461,218,375,75,188,132
"KH2013:KH.L41.14",879.329811849506,0.293502783278288,0.353847937863749,0.829460205562378,0.40684404583734,0.629963232194982,944,1095,639,908,1182,1279,1279,1009,729,888,1350,632,2082,1539,1425,1052
"KH2013:KH.L41.77",13.2556171176543,-1.70994207605598,0.881353765120604,-1.94013135669988,0.0523637280907026,0.178257983375154,8,27,6,16,9,9,12,5,14,6,22,15,44,31,26,23
"KH2013:KH.L41.51",130.193558140772,0.881126599329209,0.439515957722254,2.00476588812738,0.044988080911973,0.160924246764832,151,224,78,97,166,128,141,104,101,105,128,171,395,211,248,133
