GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.240,752.7031128253,0.4294534341,0.2080478742,2.0642048649,0.0389982965,0.2038080633
KH2013:KH.C1.177,259.9050658285,-0.8037509372,0.3473458076,-2.3139790938,0.0206688689,0.1393519968
KH2013:KH.C1.326,1585.1559334641,0.2462532469,0.2018698144,1.2198616598,0.2225173222,0.5274850002
KH2013:KH.C1.383,6.8003450626,0.1750417355,0.6539770974,0.2676572867,0.7889631307,0.9294736192
KH2013:KH.C1.566,10.7007420361,0.0764463465,0.6636296501,0.1151942902,0.9082911243,0.9732629215
KH2013:KH.C1.404,2899.4507896892,0.4442613227,0.2001212111,2.2199611933,0.026421402,0.1608607716
KH2013:KH.C1.1083,869.4518362099,1.2830553559,0.3349205591,3.8309244423,0.0001276627,0.0042502257
KH2013:KH.C1.1295,14.4976556286,0.0396256512,0.6453847295,0.0613984952,0.9510418507,0.9861333471
KH2013:KH.C1.1067,71.7622991996,1.9995465496,0.6333191787,3.1572493252,0.0015926511,0.0254595012
KH2013:KH.C1.405,64.139406537,-0.0503025471,0.6101981169,-0.0824364181,0.9342996772,0.9815561548
KH2013:KH.C1.577,40.2121305086,-0.7223243815,0.5593261123,-1.2914190229,0.1965584178,0.4942484099
KH2013:KH.C1.842,132.0521409594,-0.579533268,0.4542588954,-1.2757774781,0.2020341911,0.5014931738
KH2013:KH.C1.476,16.7788514352,-0.6816294446,0.5692873701,-1.1973380762,0.2311748091,0.5384386015
KH2013:KH.C1.823,25.7827082255,-1.5016631955,0.5608549112,-2.6774539468,0.007418405,0.0744184918
KH2013:KH.C1.355,271.2482251145,-0.0387184152,0.333696371,-0.116028877,0.9076296558,0.9731210179
KH2013:KH.C1.1027,7984.4029837667,0.0049493395,0.1564940531,0.0316263741,0.9747700104,0.9923768198
KH2013:KH.C1.970,110.4557264198,0.4168706322,0.3977615345,1.048041593,0.2946194442,0.6054048135
KH2013:KH.C1.140,307.7511191203,-0.6019809936,0.2885033037,-2.086565339,0.0369274432,0.1971632649
KH2013:KH.C1.1062,426.978134486,0.1565092412,0.3667785805,0.4267131439,0.6695882758,0.8741158028
KH2013:KH.C1.928,22.5823192755,-0.3023503994,0.6203262752,-0.4874054373,0.6259710411,0.850902604
KH2013:KH.C1.1274,0,NA,NA,NA,NA,NA
KH2013:KH.C1.538,503.2536766688,0.2869642727,0.2799655899,1.0249983682,0.3053639576,0.6153173473
KH2013:KH.C1.875,40.8977667213,-1.0169833989,0.4631737661,-2.1956843702,0.0281145426,0.1668104506
KH2013:KH.C1.1120,117.8905447562,-0.636616844,0.477831407,-1.3323043121,0.1827602108,0.4745927405
KH2013:KH.C1.388,554.1624275186,0.4688775889,0.283665629,1.6529235159,0.0983464305,0.3419972246
KH2013:KH.C1.195,152.9048143162,0.1579707568,0.4340126354,0.3639773222,0.7158749439,0.8974184064
KH2013:KH.C1.797,16.8899216332,0.2523403898,0.6291581543,0.4010762446,0.6883639901,0.8833806798
KH2013:KH.C1.603,9194.0478829011,0.5812488274,0.2519048443,2.3074142506,0.0210317375,0.1409729135
KH2013:KH.C1.483,318.0549368924,0.200165365,0.337095387,0.5937944355,0.5526496113,0.8090397077
KH2013:KH.C1.1188,43.9898029147,-0.3945554747,0.6438871447,-0.6127711634,0.5400276606,0.8002776969
KH2013:KH.C1.1170,45.4125999801,1.3785966711,0.6362547961,2.1667367845,0.0302549301,0.1744533406
KH2013:KH.C1.445,70.2406580105,-1.521202246,0.5829840608,-2.6093376276,0.0090717687,0.0847546043
