GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.L13.6,3517.2703230732,2.5324336563,0.3296304149,7.6826455997,1.55836266302705E-14,2.69819363941255E-12
KH2013:KH.L13.13,2.7942490533,-1.9167047919,2.3147164378,-0.8280516614,0.4076412433,NA
KH2013:KH.L13.25,241.5063590615,-0.5827839985,0.3809815816,-1.5296907429,0.1260932961,0.3161699875
KH2013:KH.L13.22,2013.5606166433,-0.0276640425,0.2266491018,-0.1220567048,0.90285411,0.9558366548
KH2013:KH.L13.10,17.7444729498,0.6616028171,0.9980520078,0.6628941296,0.5073983617,0.7159946742
KH2013:KH.L13.23,7.5840827719,1.6863490831,1.2596512879,1.3387427928,0.1806544201,0.3960020928
KH2013:KH.L13.14,2440.536667866,0.9869532703,0.1903194533,5.1857718864,2.1512199303381E-07,8.1017130257818E-06
KH2013:KH.L13.4,1401.0570482363,0.0991779354,0.2488642083,0.398522295,0.6902452274,0.8394961137
KH2013:KH.L13.7,12.4019856127,1.5523426385,1.0943577803,1.4184964611,0.1560458712,0.3617464014
KH2013:KH.L13.9,118.4504650595,0.2796314742,0.3193263241,0.8756918961,0.3811975521,0.6121568013
KH2013:KH.L13.8,0,NA,NA,NA,NA,NA
KH2013:KH.L13.27,747.6562492797,0.214967957,0.231891317,0.9270202944,0.3539159974,0.5869396788
KH2013:KH.L13.26,188.7418678596,-0.7490816942,0.4587167765,-1.6329938919,0.1024702813,0.2786322232
KH2013:KH.L13.16,1534.9059388342,0.573642667,0.2192973923,2.6158207396,0.0089013276,0.049841453
KH2013:KH.L13.32,16.9423177583,0.1115857878,0.8496467822,0.1313319725,0.8955127004,0.9512369789
KH2013:KH.L13.1,61.5760964463,1.2122016409,0.5958524118,2.0343991512,0.0419113674,0.1522513215
KH2013:KH.L13.34,32.9028647957,-0.8246480948,0.6162132023,-1.3382512606,0.1808145441,0.3962227979
KH2013:KH.L130.5,247.9324592129,-0.0095661288,0.6122659103,-0.0156241407,0.9875342465,0.9952494708
KH2013:KH.L130.4,113.7967830267,-0.4907242556,1.4190116559,-0.3458211591,0.7294771225,0.8632408511
KH2013:KH.L130.3,72.5969813303,-0.352808618,0.5571123256,-0.6332809414,0.5265501968,0.7296567454
KH2013:KH.L130.7,193.3724522271,0.6697913934,0.5015375651,1.3354760242,0.1817205972,0.3972288904
KH2013:KH.L130.8,33.2317502223,-0.0495563055,1.1013986506,-0.044993977,0.9641121098,0.9847194244
KH2013:KH.L130.1,1262.6674434092,-0.0908023955,0.2911887869,-0.3118334207,0.7551671235,0.8757827771
KH2013:KH.L130.6,93.2334058656,-1.8290398863,0.6662274295,-2.7453686312,0.0060442961,0.0381004993
KH2013:KH.L130.12,362.0944621151,0.1443511992,0.4942693679,0.2920496567,0.7702486575,0.8845684471
KH2013:KH.L130.11,282.5196370353,-0.7007584389,0.3031825544,-2.3113415622,0.020813996,0.0918544174
KH2013:KH.L130.2,365.5523837834,0.006343607,0.4593031862,0.0138113717,0.9889804701,0.9955928335
KH2013:KH.L130.9,1465.1769002218,0.4288627179,0.2793295665,1.5353287634,0.1247030922,0.313924023
KH2013:KH.L130.10,19.2070954349,0.8948835125,0.9120696214,0.9811570208,0.326515315,0.5623436481
KH2013:KH.L131.16,10.77792972,-1.9938706676,1.1890972901,-1.6767935511,0.0935828592,0.2620005627
KH2013:KH.L131.12,234.8738880798,0.4873101784,0.43426844,1.1221404399,0.2618027318,0.4932637894
KH2013:KH.L131.7,619.7777517762,-0.6927528872,0.3079855067,-2.2493035294,0.0244931914,0.1035658827
KH2013:KH.L131.1,18.6748604889,0.2470393639,1.049146615,0.2354669599,0.8138463202,0.9112871142
KH2013:KH.L131.8,1246.729361851,0.5187735086,0.1939788604,2.6743816696,0.0074867192,0.0443022371
KH2013:KH.L131.10,608.811783082,0.6802257293,0.2449962224,2.7764743579,0.0054951969,0.035512344
KH2013:KH.L131.4,781.9217650668,0.716860395,0.3231250226,2.2185233111,0.026519172,0.1098674955
KH2013:KH.L131.9,611.3002148298,-0.4977088409,0.3686027964,-1.3502579086,0.1769332688,0.3908009177
KH2013:KH.L131.17,129.7647895651,-1.2188894238,0.9212171066,-1.3231293851,0.1857923541,0.4021077378
KH2013:KH.L131.14,24.8866324452,-2.5306741293,1.4524225004,-1.7423815236,0.0814417068,0.2394752612
KH2013:KH.L131.11,13.4233562266,-0.2153720228,0.9278403166,-0.232121863,0.8164433644,0.9120086246
KH2013:KH.L131.5,1347.6280735954,0.5535350472,0.2935966049,1.8853591558,0.0593813645,0.1937998412
KH2013:KH.L131.2,6676.0731960047,0.6682490693,0.1966425152,3.398293948,0.0006780752,0.0070570637
KH2013:KH.L131.13,69.4785136714,-0.4798465387,0.8094687865,-0.5927918984,0.5533204303,0.7492248605
KH2013:KH.L131.3,53.2989774208,-0.2024020167,0.7877801508,-0.2569270328,0.7972351017,0.9020747396
KH2013:KH.L131.15,58.0338761429,-0.2190857838,0.7116328626,-0.3078635001,0.7581862004,0.8773664113
KH2013:KH.L131.6,513.1057420978,-0.5667381221,0.2607127835,-2.1738025828,0.0297199645,0.1192734999
KH2013:KH.L132.7,350.5088091353,0.5033713323,0.306305554,1.6433633854,0.100307771,0.2743748877
KH2013:KH.L132.5,1755.1414763314,0.8437061396,0.3027333148,2.786961654,0.0053204774,0.034651981
KH2013:KH.L132.9,1514.7063594097,0.372722408,0.2200033862,1.694166687,0.0902336131,0.256502032
KH2013:KH.L132.3,23.2655751893,-0.1150575551,1.2123837848,-0.094901925,0.9243927275,0.9671536617
KH2013:KH.L132.19,36.8901446125,0.6501943262,0.640784013,1.0146856241,0.310255709,0.5458922921
KH2013:KH.L132.14,34.4542795089,0.934301528,0.885154978,1.0555231018,0.2911861496,0.5255304922
KH2013:KH.L132.12,852.9715851658,-0.2824835978,0.2667910676,-1.0588195486,0.289681969,0.5240217112
KH2013:KH.L132.10,17.3734214487,0.131751332,0.7262306325,0.1814180318,0.8560394663,0.9319547742
KH2013:KH.L132.18,1180.8333565869,0.7485712165,0.3021850712,2.4771945664,0.0132419693,0.0663691485
KH2013:KH.L132.6,78.7008716394,1.4765368776,0.7209788174,2.0479615239,0.0405637696,0.1488156787
KH2013:KH.L132.8,259.0056288966,-0.7615404838,0.3000799956,-2.5377915722,0.01115544,0.0585759456
KH2013:KH.L132.15,54.8789148437,-1.0322741927,0.8994779666,-1.1476369972,0.2511184499,0.4805919712
KH2013:KH.L132.13,322.4414094071,-3.0202548339,0.6554870251,-4.6076500652,4.07245277537184E-06,0.0001040114
KH2013:KH.L132.11,5495.8432661646,-2.3881619543,0.5220053355,-4.5749761387,4.76274265460767E-06,0.0001182437
KH2013:KH.L132.17,40.9338577365,-2.185331295,0.9175437485,-2.3817189083,0.0172320454,0.0805742378
KH2013:KH.L132.4,460.7780631457,-1.6615690773,0.9515470454,-1.7461764874,0.0807802892,0.237904044
KH2013:KH.L132.16,23819.2979994414,-2.4231329878,0.9129636679,-2.6541395601,0.0079510934,0.0460686561
KH2013:KH.L132.2,3.4596584044,-1.4082163821,2.2087218978,-0.6375707071,0.5237531691,NA
KH2013:KH.L132.1,17.7392204792,0.127932655,0.7654746994,0.1671285219,0.8672689244,0.9368179777
KH2013:KH.L133.9,15713.9268319894,0.8470997923,0.2731495202,3.1012311192,0.0019271781,0.015941723
KH2013:KH.L133.8,268.4709780869,1.3419448386,0.4146582698,3.2362669125,0.0012110409,0.0111734234
KH2013:KH.L133.12,901.1969075873,1.8171080497,0.424710691,4.2784608165,0.000018819,0.0003689633
KH2013:KH.L133.10,11.7578376188,-0.8089510694,0.9448281349,-0.8561885907,0.3918934724,0.6218783042
KH2013:KH.L133.2,87.3609028347,-0.2997153826,0.5676193571,-0.5280217789,0.59748422,0.7778204883
KH2013:KH.L133.13,68.4384882107,0.1283673766,0.4955636743,0.2590330633,0.79560973,0.9013484807
KH2013:KH.L133.5,16.9839884312,-0.0134135937,1.0533420012,-0.0127343197,0.9898397576,0.9958152466
KH2013:KH.L133.11,62.2698708409,0.1299842701,0.6807730519,0.1909362742,0.8485755202,0.9286823868
KH2013:KH.L133.4,86.295052473,-3.4289297342,1.4435881736,-2.3752825056,0.0175355233,0.0813726407
KH2013:KH.L133.3,142.0755188382,0.201812935,0.6056795819,0.3332008227,0.7389826971,0.8686210722
KH2013:KH.L133.7,506.6022330335,0.3297180811,0.283279739,1.1639310397,0.2444519594,0.4737630175
KH2013:KH.L133.1,353.9757145037,0.3667296293,0.3971624732,0.9233743218,0.3558121686,0.5888022739
KH2013:KH.L133.6,554.8743040724,-0.6266628917,0.3939144046,-1.5908605633,0.1116409595,0.2935115898
KH2013:KH.L134.14,1607.6345823201,0.3779909109,0.2553035358,1.4805549389,0.1387252106,0.3362087816
KH2013:KH.L134.17,263.9658414627,0.1577947815,0.3122286068,0.5053822042,0.6132904155,0.7880165445
KH2013:KH.L134.28,27.09446464,-0.1138056914,0.981402749,-0.1159622708,0.9076824435,0.9587893624
KH2013:KH.L134.22,408.1809976723,-0.2646530739,0.2269639785,-1.1660576082,0.2435911546,0.4726505393
KH2013:KH.L134.25,18.0483210408,-0.0367658161,1.0575876326,-0.0347638484,0.972268048,0.9894868409
KH2013:KH.L134.21,15.2726663846,6.0855363519,1.8549909392,3.280628613,0.0010357603,0.0098845786
KH2013:KH.L134.31,10.5174594876,0.7876697587,1.7255460937,0.4564756407,0.6480479836,0.8112465463
KH2013:KH.L134.20,2835.2032834852,0.8498509651,0.1842559011,4.6123405554,3.98159944240006E-06,0.0001022462
KH2013:KH.L134.23,44.3505249421,0.2328167233,0.6513052433,0.3574617672,0.7207461433,0.8580194149
KH2013:KH.L134.16,4.3513419274,0.82115275,1.8929274265,0.4338004398,0.6644333622,NA
KH2013:KH.L134.7,13.2107838598,1.7525408708,1.329016905,1.3186746265,0.187277913,0.4036845815
KH2013:KH.L134.11,29.0821879871,0.7146848641,0.7926506045,0.9016392091,0.3672485555,0.599256559
KH2013:KH.L134.4,400.721732764,0.2474829394,0.2733568955,0.9053473444,0.3652814019,0.5974643173
KH2013:KH.L134.1,82.2364451429,-0.023018799,0.5033705518,-0.0457293319,0.9635259848,0.9845225427
KH2013:KH.L134.27,3.7120295173,0.7255154883,2.6766111984,0.2710574807,0.7863468232,NA
KH2013:KH.L134.26,5.3363502911,2.8440135412,1.5906323698,1.7879766533,0.0737797746,NA
KH2013:KH.L134.9,10.3577175465,1.9144142181,1.2690506068,1.5085404851,0.1314162532,0.3249765999
KH2013:KH.L134.24,62.8398750485,2.151119932,0.8932683016,2.4081453782,0.0160337948,0.0759909536
KH2013:KH.L134.18,59.1048973946,1.4343967305,0.4723477867,3.0367385447,0.0023915279,0.018918076
KH2013:KH.L134.8,0.9686866022,2.9069595728,5.6886280791,0.511012415,0.6093423635,NA
KH2013:KH.L134.6,37.6475201728,0.5466487371,1.4592283915,0.3746149268,0.7079468702,0.8508648563
KH2013:KH.L134.30,1.8121696855,-1.4002688776,3.2445244908,-0.4315790747,0.6660473697,NA
KH2013:KH.L134.15,8.1739923321,-1.2350205096,1.7010298379,-0.7260428254,0.4678125174,0.6867528254
KH2013:KH.L134.3,7.2671983423,4.365293258,2.0422136048,2.1375302014,0.032554892,0.1276534765
KH2013:KH.L134.13,635.2028685971,0.6099172292,0.2886102786,2.1132900466,0.0345759501,0.1332273315
KH2013:KH.L134.10,4.3869658504,1.3796631058,1.7020623492,0.8105831766,0.4176050813,NA
KH2013:KH.L134.2,247.1935685441,-0.0168778979,0.3470635403,-0.0486305703,0.9612137072,0.9834291229
KH2013:KH.L134.5,1660.2257491262,0.9473984678,0.1981488292,4.781246861,1.7421127410745E-06,5.09338751403624E-05
KH2013:KH.L134.19,68.9322971606,-1.8169461548,0.6046030611,-3.0051884812,0.0026541632,0.0203981281
KH2013:KH.L134.29,72.6789309046,0.9502775662,0.5855281206,1.6229409532,0.1046020279,0.2822864201
KH2013:KH.L135.1,402.9436647288,-0.5980225359,0.3414821671,-1.7512555369,0.0799019029,0.2361434428
KH2013:KH.L135.2,1517.7880487387,0.7991554701,0.2820011426,2.8338731633,0.0045987581,0.030964971
KH2013:KH.L135.3,13.7671017951,0.7781533273,0.9594779647,0.8110174032,0.4173556767,0.6445998472
KH2013:KH.L135.5,29.2070904977,-2.0970910608,1.290786339,-1.624661648,0.1042346735,0.2815421513
KH2013:KH.L135.4,219.4177278914,0.3497723545,0.3746750302,0.9335352673,0.3505436702,0.5839898609
KH2013:KH.L136.2,11.6243928146,1.8501082242,1.3334253811,1.387485382,0.1652938055,0.3756088317
KH2013:KH.L136.3,0,NA,NA,NA,NA,NA
KH2013:KH.L136.1,13.6845758696,0.744135508,1.2888424663,0.5773673102,0.5636913523,0.7563539764
KH2013:KH.L136.4,11.0030689199,-2.3122004744,1.5285474067,-1.5126782881,0.1303613973,0.3232245022
KH2013:KH.L137.5,36.9418611603,0.711438555,0.7987710647,0.8906664079,0.3731081613,0.6045072144
KH2013:KH.L137.1,28.5470154955,-0.813130897,0.6826545715,-1.1911308163,0.2336022339,0.4622120781
KH2013:KH.L137.3,550.8240555741,0.4486200618,0.215062862,2.0859950324,0.036979073,0.1395823901
KH2013:KH.L137.4,36.4293896553,2.646795726,0.7391358421,3.5809327262,0.0003423698,0.0040573105
KH2013:KH.L137.6,28.6024504581,-0.5886985367,0.695679115,-0.8462213742,0.3974292603,0.6265862252
KH2013:KH.L137.7,47.2701675412,-0.0114610848,0.5037215587,-0.0227528177,0.9818474443,0.9930953742
KH2013:KH.L137.2,262.4304979857,-0.5287450739,0.3315300693,-1.5948630994,0.1107428529,0.291964003
KH2013:KH.L138.2,841.341301935,0.934943705,0.4616666965,2.0251486885,0.0428520987,0.1548249809
KH2013:KH.L138.1,524.389436877,-1.2460297893,0.4228021504,-2.9470753355,0.0032079504,0.0237416047
KH2013:KH.L139.5,652.4491554689,0.6019520725,0.2940412619,2.0471687161,0.0406415219,0.1490189137
KH2013:KH.L139.24,167.8398723484,-0.63988073,0.5504844289,-1.1623956944,0.2450747714,0.4740535103
KH2013:KH.L139.4,13.3671580107,4.4539543037,1.8245725679,2.4410946333,0.0146428171,0.0711954915
KH2013:KH.L139.1,7.6820634258,-0.1292019105,1.8168671842,-0.0711124685,0.9433082448,0.9757208423
KH2013:KH.L139.20,6.5145599179,-0.4180250534,1.9701335471,-0.2121810748,0.8319657708,NA
KH2013:KH.L139.16,4.454589552,0.4927488144,1.9118663159,0.2577318353,0.7966138749,NA
KH2013:KH.L139.11,6.3061113318,-2.7394694214,2.141002833,-1.2795262945,0.2007117862,NA
KH2013:KH.L139.26,90.5755772994,-0.2754838975,0.5420972457,-0.5081816956,0.6113259265,0.7872574498
KH2013:KH.L139.15,73.6967852206,0.3361483208,0.7365910976,0.456356752,0.6481334599,0.8112758982
KH2013:KH.L139.25,7.9962810055,-0.6517326848,1.2759844584,-0.5107685133,0.6095131594,0.7861870589
KH2013:KH.L139.9,78.9620108816,4.8483380414,0.7817646654,6.201787131,5.58255546494411E-10,4.22878576469517E-08
KH2013:KH.L139.14,28.5278329994,1.9810716834,0.9587569177,2.0662919314,0.0388009228,0.1445358768
KH2013:KH.L139.2,16.7386307493,0.3842112104,1.0909155956,0.3521915096,0.7246946439,0.8604708101
KH2013:KH.L139.7,0,NA,NA,NA,NA,NA
KH2013:KH.L139.6,1.1208448365,-0.6472348799,4.6726642535,-0.1385151692,0.8898332819,NA
KH2013:KH.L139.22,1.1235836855,0.3611412092,3.3423800559,0.1080491156,0.9139567316,NA
KH2013:KH.L139.17,481.8266114326,-0.2250267584,0.3102133439,-0.7253935486,0.4682106298,0.6870112388
KH2013:KH.L139.23,1.8081975482,4.9721554612,4.1092655046,1.2099864211,0.2262841034,NA
KH2013:KH.L139.8,25.6195091552,2.2413401152,0.7803035186,2.8723952432,0.0040737312,0.0282575358
KH2013:KH.L139.3,105.9650692701,-1.6305431337,0.7940722757,-2.0533938579,0.0400343945,0.1475230923
KH2013:KH.L139.21,4.4391516906,3.2679465581,2.2290033258,1.4661021454,0.1426204613,NA
KH2013:KH.L139.19,5.9701757678,0.9444320887,2.1484589108,0.4395858278,0.6602371071,NA
KH2013:KH.L139.13,1740.0888673862,-0.0844434833,0.2829588896,-0.2984302187,0.765374828,0.8815882494
KH2013:KH.L139.18,1469.8682577676,-2.9595976364,0.5239923212,-5.6481698616,1.62164907998927E-08,8.15842472996865E-07
KH2013:KH.L139.10,140.2155822421,-0.3351685322,0.4593130448,-0.7297169894,0.4655631941,0.6848569192
KH2013:KH.L139.12,802.2551393307,0.4761033457,0.2288499404,2.0804171715,0.0374872856,0.140856292
KH2013:KH.L14.2,1559.8423941046,0.0213635186,0.3473956712,0.0614962143,0.9509640293,0.9789368122
KH2013:KH.L14.3,2.5926020457,5.1774290077,2.6946069088,1.921404191,0.0546807706,NA
KH2013:KH.L14.1,1545.8602511918,-0.3713944359,0.3152490129,-1.1780986479,0.238757281,0.4680016315
KH2013:KH.L140.2,758.361062736,-0.4200401193,0.4224208919,-0.9943639801,0.3200456976,0.5555793282
KH2013:KH.L140.7,81.2971788434,0.358203677,0.6080527787,0.5890996465,0.5557944305,0.7512014749
KH2013:KH.L140.6,68.1009231569,1.9027156969,0.9817284765,1.9381282528,0.0526075773,0.1771569136
KH2013:KH.L140.4,38.4205316999,-0.8405366378,1.1295837577,-0.7441118306,0.4568088226,0.6789493002
KH2013:KH.L140.5,94.1646459001,-2.3549092489,0.6190990578,-3.8037681037,0.0001425116,0.0020041821
KH2013:KH.L140.9,73.8900198067,-0.1564207816,0.8204526341,-0.1906518123,0.8487983943,0.9288193732
KH2013:KH.L140.8,13.2514951127,-0.8389428811,1.340893759,-0.6256594719,0.5315383215,0.7330824521
KH2013:KH.L140.3,55.342366117,-0.2027333326,0.6568752061,-0.30863295,0.7576007533,0.876917281
KH2013:KH.L140.1,101.3954399094,-3.103347995,0.7866792477,-3.9448708022,0.000079843,0.0012479098
