foxf1_ko_10hpf_rnaseq_june_6	foxf_ko_10hpf_rnaseq_may_31	lacz1_ko_10hpf_rnaseq_may_31	lacz2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_may_31
KH2013:KH.C3.671	83	189	87	50	78	267
KH2013:KH.C3.672	365	689	323	184	331	1057
KH2013:KH.C3.673	50	125	82	50	46	245
KH2013:KH.C3.674	41	84	52	41	32	119
KH2013:KH.C3.675	248	690	405	145	238	905
KH2013:KH.C3.676	2138	5288	3210	2332	2804	8105
KH2013:KH.C3.677	176	302	207	190	254	663
KH2013:KH.C3.678	29	59	39	28	32	119
KH2013:KH.C3.679	4	1	1	3	1	12
KH2013:KH.C3.68	0	0	0	0	0	1
KH2013:KH.C3.680	7	22	11	5	11	41
KH2013:KH.C3.681	11	27	8	8	14	29
KH2013:KH.C3.682	9	37	15	5	12	51
KH2013:KH.C3.683	65	138	83	48	81	205
KH2013:KH.C3.684	5	35	13	6	8	18
KH2013:KH.C3.685	645	1321	638	451	720	1872
KH2013:KH.C3.686	5	26	14	8	3	47
KH2013:KH.C3.687	45	95	37	27	39	162
KH2013:KH.C3.689	70	127	93	46	45	256
KH2013:KH.C3.69	2272	4436	2165	1619	2090	6815
KH2013:KH.C3.690	204	621	387	282	285	1067
KH2013:KH.C3.691	248	569	373	289	247	1135
KH2013:KH.C3.692	40	32	35	34	56	109
KH2013:KH.C3.693	700	1913	893	356	507	2699
KH2013:KH.C3.694	316	1031	442	210	347	1230
KH2013:KH.C3.695	111	250	123	78	90	397
KH2013:KH.C3.696	275	597	154	156	182	455
KH2013:KH.C3.697	131	371	180	97	146	549
KH2013:KH.C3.698	70	191	122	57	91	392
KH2013:KH.C3.699	1219	2937	1525	715	934	4503
KH2013:KH.C3.7	405	1030	521	313	426	1475
KH2013:KH.C3.70	1	11	2	2	0	8
KH2013:KH.C3.700	83	220	123	83	89	345
KH2013:KH.C3.701	7	23	6	3	10	26
KH2013:KH.C3.702	6	34	9	6	10	36
KH2013:KH.C3.703	2	1	2	0	1	3
KH2013:KH.C3.704	245	643	363	190	283	929
KH2013:KH.C3.705	1	25	0	7	5	23
KH2013:KH.C3.706	1	20	18	4	0	37
KH2013:KH.C3.707	15	45	42	14	18	102
KH2013:KH.C3.708	11	18	18	3	18	37
KH2013:KH.C3.709	40	139	61	33	37	216
KH2013:KH.C3.71	57	166	75	41	65	179
KH2013:KH.C3.710	74	289	95	100	142	384
KH2013:KH.C3.711	0	1	0	0	0	12
KH2013:KH.C3.712	4	11	6	10	8	14
KH2013:KH.C3.713	298	874	477	208	269	1248
KH2013:KH.C3.714	42	84	60	23	49	179
KH2013:KH.C3.715	162	216	104	74	100	220
KH2013:KH.C3.716	31	78	25	28	48	86
KH2013:KH.C3.717	393	819	454	281	324	1348
KH2013:KH.C3.718	6	36	5	4	6	7
KH2013:KH.C3.719	4333	10520	5695	2430	3270	16011
KH2013:KH.C3.72	26	106	54	25	32	197
KH2013:KH.C3.720	29	101	48	32	37	173
KH2013:KH.C3.721	0	2	2	0	0	4
KH2013:KH.C3.722	98	240	83	32	61	303
KH2013:KH.C3.723	130	314	122	92	128	453
KH2013:KH.C3.724	13	48	22	52	30	127
KH2013:KH.C3.725	2	3	0	0	0	0
KH2013:KH.C3.726	0	3	0	0	0	0
KH2013:KH.C3.727	56	180	67	39	54	245
KH2013:KH.C3.728	150	451	214	103	151	670
KH2013:KH.C3.729	14	15	13	10	13	52
KH2013:KH.C3.73	2	10	1	0	1	8
KH2013:KH.C3.730	69	154	67	56	59	248
KH2013:KH.C3.731	2	15	14	1	3	22
KH2013:KH.C3.732	191	689	297	196	257	814
KH2013:KH.C3.734	363	777	320	326	375	1081
KH2013:KH.C3.735	88	149	68	56	81	201
KH2013:KH.C3.736	1565	3655	1535	1149	1401	4406
KH2013:KH.C3.737	0	0	0	0	1	0
KH2013:KH.C3.738	163	442	233	98	148	613
KH2013:KH.C3.74	2651	5702	3368	1528	2047	8735
KH2013:KH.C3.740	26	39	34	9	15	60
KH2013:KH.C3.741	30	69	38	28	31	114
KH2013:KH.C3.742	71	298	73	99	167	397
KH2013:KH.C3.743	74	185	93	57	57	266
KH2013:KH.C3.744	262	668	292	203	348	837
KH2013:KH.C3.745	5	34	2	10	18	22
KH2013:KH.C3.746	178	463	199	169	190	641
KH2013:KH.C3.747	0	12	3	2	4	1
KH2013:KH.C3.748	203	348	185	119	198	579
KH2013:KH.C3.749	87	235	158	98	114	509
KH2013:KH.C3.75	9	16	35	25	28	103
KH2013:KH.C3.750	1106	3000	1529	947	1457	4516
KH2013:KH.C3.751	786	2315	1060	295	503	3101
KH2013:KH.C3.752	0	0	0	0	0	0
KH2013:KH.C3.753	0	1	0	1	0	12
KH2013:KH.C3.754	56	236	174	70	97	422
KH2013:KH.C3.755	1	1	1	3	3	3
KH2013:KH.C3.756	504	1185	587	231	365	1830
KH2013:KH.C3.757	5	50	13	4	1	41
KH2013:KH.C3.758	53	92	65	29	50	130
KH2013:KH.C3.759	0	0	0	0	0	2
KH2013:KH.C3.76	86	133	89	81	78	224
KH2013:KH.C3.760	0	0	0	0	1	1
KH2013:KH.C3.762	16	83	20	26	33	117
KH2013:KH.C3.763	12	41	17	11	22	65
KH2013:KH.C3.764	32	73	22	17	46	83
KH2013:KH.C3.765	159	500	268	152	232	960
KH2013:KH.C3.766	25	42	21	19	11	64
KH2013:KH.C3.767	273	832	507	307	340	1297
KH2013:KH.C3.768	18	68	22	27	15	112
KH2013:KH.C3.769	98	311	175	73	133	407
KH2013:KH.C3.77	0	8	3	14	12	15
KH2013:KH.C3.770	34	64	49	19	24	152
KH2013:KH.C3.771	0	0	0	0	2	0
KH2013:KH.C3.772	872	2041	954	626	904	2888
KH2013:KH.C3.773	9	16	17	4	12	49
KH2013:KH.C3.774	14	17	6	0	13	16
KH2013:KH.C3.775	0	0	0	0	1	0
KH2013:KH.C3.776	220	474	310	165	193	823
KH2013:KH.C3.777	2	6	0	2	10	5
KH2013:KH.C3.778	0	2	1	1	2	3
KH2013:KH.C3.779	0	1	0	1	2	6
KH2013:KH.C3.780	566	1569	857	488	665	2279
KH2013:KH.C3.781	434	2186	500	455	1090	1499
KH2013:KH.C3.782	15	45	30	15	12	64
KH2013:KH.C3.783	135	272	140	108	173	349
KH2013:KH.C3.784	4	10	5	6	1	6
KH2013:KH.C3.785	18	38	19	16	17	86
KH2013:KH.C3.786	0	0	0	0	0	0
KH2013:KH.C3.787	0	1	0	0	0	0
KH2013:KH.C3.788	334	618	373	167	242	893
KH2013:KH.C3.79	25	46	16	20	25	81
KH2013:KH.C3.790	0	0	1	0	1	0
KH2013:KH.C3.791	144	447	215	86	155	582
KH2013:KH.C3.792	0	0	0	0	0	0
KH2013:KH.C3.793	8	2	3	3	2	6
KH2013:KH.C3.794	43	90	45	41	47	103
KH2013:KH.C3.795	0	0	0	0	1	3
KH2013:KH.C3.796	320	870	396	265	313	1186
KH2013:KH.C3.797	55	124	57	51	45	196
KH2013:KH.C3.798	0	0	0	1	0	3
KH2013:KH.C3.799	47	100	46	33	42	173
KH2013:KH.C3.8	196	487	212	126	175	716
KH2013:KH.C3.80	5	10	3	3	14	5
KH2013:KH.C3.800	459	846	492	339	405	1487
KH2013:KH.C3.801	58	204	91	69	86	294
KH2013:KH.C3.802	1	6	6	10	3	29
KH2013:KH.C3.803	0	1	0	0	0	0
KH2013:KH.C3.804	51	191	80	33	63	236
KH2013:KH.C3.805	6	34	13	3	10	28
KH2013:KH.C3.806	14	72	12	12	9	52
KH2013:KH.C3.807	166	588	236	150	199	762
KH2013:KH.C3.808	46	80	50	24	40	129
KH2013:KH.C3.809	462	923	526	332	503	1439
KH2013:KH.C3.81	2	3	0	0	1	3
KH2013:KH.C3.810	33	66	34	20	34	89
KH2013:KH.C3.811	3	9	4	2	5	13
KH2013:KH.C3.812	5	66	20	15	9	59
KH2013:KH.C3.813	5	6	5	4	1	6
KH2013:KH.C3.814	13267	26657	14066	6592	9469	36710
KH2013:KH.C3.815	695	1605	856	563	703	2108
KH2013:KH.C3.816	212	557	261	153	153	806
KH2013:KH.C3.817	123	306	171	73	111	465
KH2013:KH.C3.818	113	303	135	86	156	467
KH2013:KH.C3.819	203	541	246	187	157	797
KH2013:KH.C3.82	360	826	410	289	340	1304
KH2013:KH.C3.820	1409	3310	1592	1102	1394	4632
KH2013:KH.C3.821	0	0	0	0	0	1
KH2013:KH.C3.823	68	106	56	35	42	141
KH2013:KH.C3.824	1	2	0	0	1	2
KH2013:KH.C3.825	146	299	179	127	171	541
KH2013:KH.C3.826	111	383	237	97	157	618
KH2013:KH.C3.827	42	126	45	36	38	157
KH2013:KH.C3.828	319	911	418	295	385	1278
KH2013:KH.C3.829	21	34	29	16	29	84
KH2013:KH.C3.83	84	204	141	66	82	320
KH2013:KH.C3.830	44	213	93	145	151	290
KH2013:KH.C3.831	118	295	177	135	104	423
KH2013:KH.C3.832	397	936	426	289	393	1340
KH2013:KH.C3.833	0	0	0	0	0	0
KH2013:KH.C3.834	86	193	98	71	106	278
KH2013:KH.C3.835	120	263	108	90	123	404
KH2013:KH.C3.837	73	201	146	88	122	434
KH2013:KH.C3.839	8	15	6	4	3	13
KH2013:KH.C3.84	803	1839	1119	650	844	3335
KH2013:KH.C3.840	5	22	18	3	8	28
KH2013:KH.C3.841	114	223	120	83	110	350
KH2013:KH.C3.842	664	1480	797	473	648	2427
KH2013:KH.C3.843	32	38	31	62	47	112
KH2013:KH.C3.844	0	2	0	0	0	2
KH2013:KH.C3.845	122	320	176	119	133	590
KH2013:KH.C3.846	12	29	21	2	12	42
KH2013:KH.C3.847	0	4	0	0	0	2
KH2013:KH.C3.848	27	63	25	21	29	100
KH2013:KH.C3.849	136	366	200	80	97	481
KH2013:KH.C3.85	38	101	39	20	14	146
KH2013:KH.C3.850	0	0	0	0	0	4
KH2013:KH.C3.851	0	0	1	0	1	0
KH2013:KH.C3.852	2	2	2	2	0	5
KH2013:KH.C3.853	3	7	10	0	4	15
KH2013:KH.C3.854	1	0	1	0	0	0
KH2013:KH.C3.855	181	294	188	110	141	563
KH2013:KH.C3.856	269	474	277	139	134	781
KH2013:KH.C3.858	0	0	0	0	0	0
KH2013:KH.C3.859	481	1250	667	422	571	1742
KH2013:KH.C3.86	46	180	115	69	63	292
KH2013:KH.C3.860	1438	3793	1951	1247	1559	5356
KH2013:KH.C3.861	34	55	22	14	15	105
KH2013:KH.C3.862	2	21	5	3	4	31
KH2013:KH.C3.863	0	2	2	0	1	18
KH2013:KH.C3.864	0	0	0	0	0	0
KH2013:KH.C3.865	106	250	145	101	102	372
KH2013:KH.C3.866	2	7	11	0	3	12
KH2013:KH.C3.867	4	0	1	0	1	3
KH2013:KH.C3.868	9	44	12	9	14	35
KH2013:KH.C3.869	1102	2862	1457	898	865	4035
KH2013:KH.C3.87	580	1507	821	340	526	2206
KH2013:KH.C3.870	167	404	212	120	156	651
KH2013:KH.C3.871	14	31	20	19	21	22
KH2013:KH.C3.872	52	124	53	53	60	202
KH2013:KH.C3.873	0	4	3	1	3	0
KH2013:KH.C3.874	1	3	1	0	0	5
KH2013:KH.C3.875	261	682	340	215	282	923
KH2013:KH.C3.876	84	151	79	76	68	324
KH2013:KH.C3.877	245	493	335	165	225	774
KH2013:KH.C3.878	49	68	33	36	63	101
KH2013:KH.C3.879	329	794	402	221	301	1225
KH2013:KH.C3.88	12	27	14	18	17	37
KH2013:KH.C3.880	9	6	9	11	15	47
KH2013:KH.C3.881	41	126	51	50	55	176
KH2013:KH.C3.882	3	8	3	4	0	6
KH2013:KH.C3.883	11	27	10	11	38	27
KH2013:KH.C3.884	415	944	550	329	421	1447
KH2013:KH.C3.885	20	59	55	48	40	168
KH2013:KH.C3.886	1	9	1	5	1	5
KH2013:KH.C3.887	79	275	132	54	93	316
KH2013:KH.C3.888	20	30	9	9	11	34
KH2013:KH.C3.889	822	2149	1075	785	923	3120
KH2013:KH.C3.89	248	673	345	180	272	920
KH2013:KH.C3.890	58	199	120	38	83	324
KH2013:KH.C3.891	13	47	17	17	13	46
KH2013:KH.C3.892	417	1035	496	297	429	1491
KH2013:KH.C3.894	835	1971	846	665	799	2492
KH2013:KH.C3.895	5	34	6	7	8	19
KH2013:KH.C3.896	22	34	29	15	24	81
KH2013:KH.C3.897	12	29	27	12	14	28
KH2013:KH.C3.898	573	1593	874	437	533	2195
KH2013:KH.C3.899	7	27	34	31	25	121
KH2013:KH.C3.9	393	1057	522	287	337	1258
KH2013:KH.C3.90	51	208	70	46	58	242
KH2013:KH.C3.900	1	1	2	1	2	6
KH2013:KH.C3.901	74	176	109	64	71	288
KH2013:KH.C3.902	31	125	73	42	85	285
KH2013:KH.C3.903	383	1234	638	292	419	2088
KH2013:KH.C3.904	2	12	7	17	11	26
KH2013:KH.C3.905	101	476	129	146	274	468
KH2013:KH.C3.906	92	165	71	51	66	262
KH2013:KH.C3.907	97	314	168	74	82	406
KH2013:KH.C3.908	0	6	1	2	0	12
KH2013:KH.C3.909	0	0	1	2	1	4
KH2013:KH.C3.91	94	287	113	82	91	315
KH2013:KH.C3.910	79	186	88	41	44	198
KH2013:KH.C3.911	18	43	28	6	12	98
KH2013:KH.C3.912	0	0	0	0	0	1
KH2013:KH.C3.913	2	2	1	1	0	5
KH2013:KH.C3.914	207	426	282	177	187	710
KH2013:KH.C3.915	100	267	104	101	130	267
KH2013:KH.C3.916	39	118	49	20	47	215
KH2013:KH.C3.917	142	424	239	118	162	810
KH2013:KH.C3.918	0	0	0	1	0	1
KH2013:KH.C3.919	64	193	137	72	72	271
KH2013:KH.C3.92	69	115	73	48	70	164
KH2013:KH.C3.920	154	340	211	200	160	639
KH2013:KH.C3.921	23	163	112	37	42	264
KH2013:KH.C3.922	2	6	2	1	6	3
KH2013:KH.C3.923	170	414	216	104	189	546
KH2013:KH.C3.924	0	0	0	0	0	0
KH2013:KH.C3.925	0	0	1	0	2	3
KH2013:KH.C3.926	128	240	150	82	93	373
KH2013:KH.C3.927	63	196	91	68	68	288
KH2013:KH.C3.928	39	51	30	19	26	121
KH2013:KH.C3.93	183	509	240	135	177	547
KH2013:KH.C3.930	16	44	20	9	17	90
KH2013:KH.C3.932	2	0	0	0	0	2
KH2013:KH.C3.934	0	1	0	0	0	2
KH2013:KH.C3.938	0	2	0	1	0	0
KH2013:KH.C3.94	1	14	4	1	9	11
KH2013:KH.C3.95	3	5	6	4	7	8
KH2013:KH.C3.952	0	6	2	1	2	6
KH2013:KH.C3.96	2	41	7	6	24	39
KH2013:KH.C3.965	1878	4563	2343	1119	1442	6738
KH2013:KH.C3.966	0	1	0	1	1	3
KH2013:KH.C3.967	0	0	0	0	0	0
KH2013:KH.C3.968	0	0	0	0	0	0
KH2013:KH.C3.969	0	0	0	0	0	0
KH2013:KH.C3.97	2	15	1	4	5	32
KH2013:KH.C3.98	10	35	30	11	10	56
KH2013:KH.C3.99	399	1254	812	534	598	2043
KH2013:KH.C4.1	3	9	2	2	1	13
KH2013:KH.C4.10	8	5	12	4	6	26
KH2013:KH.C4.100	176	434	236	142	184	704
KH2013:KH.C4.101	2	7	2	0	0	3
KH2013:KH.C4.102	48	113	57	52	48	189
KH2013:KH.C4.103	2	26	14	10	2	50
KH2013:KH.C4.104	0	2	1	0	1	12
KH2013:KH.C4.105	154	331	234	114	104	649
KH2013:KH.C4.106	9	44	27	14	21	70
KH2013:KH.C4.107	1	10	0	7	6	5
KH2013:KH.C4.108	32	70	39	13	28	108
KH2013:KH.C4.109	100	285	179	80	125	543
KH2013:KH.C4.11	269	596	344	249	309	979
KH2013:KH.C4.110	358	966	437	231	343	1479
KH2013:KH.C4.111	3269	8620	4680	2596	3013	13329
KH2013:KH.C4.112	4	7	1	9	3	19
KH2013:KH.C4.113	92	208	107	67	71	294
KH2013:KH.C4.114	224	694	372	207	278	1012
KH2013:KH.C4.115	10	31	5	11	22	21
KH2013:KH.C4.116	1333	2493	1222	701	925	3439
KH2013:KH.C4.117	30	56	29	11	17	116
KH2013:KH.C4.119	591	1386	864	435	538	2284
KH2013:KH.C4.12	1416	5688	2257	1702	2903	7200
KH2013:KH.C4.120	167	910	444	145	216	1008
KH2013:KH.C4.121	112	284	166	80	129	478
KH2013:KH.C4.122	0	1	0	1	1	1
KH2013:KH.C4.123	190	509	293	153	212	840
KH2013:KH.C4.124	20	85	39	26	41	177
KH2013:KH.C4.125	243	406	293	279	255	871
KH2013:KH.C4.126	605	868	498	404	502	1501
KH2013:KH.C4.127	127	304	168	89	127	478
KH2013:KH.C4.128	198	286	253	189	187	607
KH2013:KH.C4.129	23	94	32	38	64	115
KH2013:KH.C4.13	42	143	35	14	22	113
KH2013:KH.C4.130	204	440	254	129	155	697
KH2013:KH.C4.131	384	906	500	294	277	1227
KH2013:KH.C4.132	1	3	0	1	5	6
KH2013:KH.C4.133	91	182	96	104	98	276
KH2013:KH.C4.134	3	15	1	1	2	9
KH2013:KH.C4.135	465	917	485	338	413	1317
KH2013:KH.C4.136	854	2314	1077	795	1049	3423
KH2013:KH.C4.137	157	442	178	108	162	591
KH2013:KH.C4.138	367	1147	487	331	429	1608
KH2013:KH.C4.139	36	23	19	12	34	80
KH2013:KH.C4.14	1	3	0	1	1	4
KH2013:KH.C4.140	0	7	0	2	1	6
KH2013:KH.C4.142	202	641	375	160	221	938
KH2013:KH.C4.143	46	116	67	33	45	115
KH2013:KH.C4.144	478	1118	663	400	523	1954
KH2013:KH.C4.145	8	13	9	3	6	29
KH2013:KH.C4.146	427	1606	465	353	845	1503
KH2013:KH.C4.147	173	426	196	129	168	674
KH2013:KH.C4.148	408	755	417	210	314	1100
KH2013:KH.C4.149	67	164	87	50	63	218
KH2013:KH.C4.15	5	12	0	5	6	18
KH2013:KH.C4.150	10	39	29	15	35	52
KH2013:KH.C4.151	632	1352	720	421	469	2182
KH2013:KH.C4.152	95	202	115	71	110	393
KH2013:KH.C4.153	0	1	1	0	0	3
KH2013:KH.C4.154	77	228	108	54	49	323
KH2013:KH.C4.156	3	7	4	3	1	5
KH2013:KH.C4.157	461	1308	710	382	434	1879
KH2013:KH.C4.158	10	20	1	1	6	40
KH2013:KH.C4.159	274	588	310	180	206	989
KH2013:KH.C4.16	64	107	93	43	65	256
KH2013:KH.C4.160	11	30	13	7	9	24
KH2013:KH.C4.161	0	0	0	0	1	0
KH2013:KH.C4.162	418	918	449	267	378	1406
KH2013:KH.C4.163	312	756	492	321	404	1354
KH2013:KH.C4.164	25	25	13	10	11	77
KH2013:KH.C4.165	1	0	0	0	1	0
KH2013:KH.C4.166	76	210	142	69	99	444
KH2013:KH.C4.167	132	333	194	117	141	518
KH2013:KH.C4.168	254	552	283	172	227	842
KH2013:KH.C4.169	0	0	0	0	2	2
KH2013:KH.C4.17	207	682	332	299	333	1129
KH2013:KH.C4.170	0	2	2	2	0	8
KH2013:KH.C4.171	0	0	0	0	1	1
KH2013:KH.C4.172	412	1328	531	289	534	1395
KH2013:KH.C4.173	3129	6663	2858	1626	2152	7423
KH2013:KH.C4.174	371	800	435	230	359	1392
KH2013:KH.C4.175	2	2	1	0	0	5
KH2013:KH.C4.176	286	728	458	218	283	1179
KH2013:KH.C4.177	361	958	462	316	412	1291
KH2013:KH.C4.178	0	1	0	0	0	0
KH2013:KH.C4.179	26	46	23	29	26	90
KH2013:KH.C4.18	64	301	130	79	83	367
KH2013:KH.C4.180	5	3	5	3	4	4
KH2013:KH.C4.181	5	32	7	4	11	23
KH2013:KH.C4.182	8125	16869	13231	9935	10465	34557
KH2013:KH.C4.183	127	359	180	115	164	536
KH2013:KH.C4.184	185	376	207	157	190	662
KH2013:KH.C4.185	2	12	4	4	0	19
KH2013:KH.C4.186	39	132	46	26	26	119
KH2013:KH.C4.187	69	209	141	44	66	343
KH2013:KH.C4.188	503	1547	621	332	394	2231
KH2013:KH.C4.189	273	690	307	190	271	1081
KH2013:KH.C4.19	68	175	106	55	68	288
KH2013:KH.C4.190	3604	8167	4311	2161	2552	12718
KH2013:KH.C4.191	3	23	13	13	11	38
KH2013:KH.C4.192	3	20	7	2	4	22
KH2013:KH.C4.193	62	155	68	44	60	224
KH2013:KH.C4.194	0	4	1	2	0	6
KH2013:KH.C4.195	29	83	46	19	27	122
KH2013:KH.C4.196	36	121	51	27	22	148
KH2013:KH.C4.197	42	115	55	39	38	168
KH2013:KH.C4.198	151	424	188	126	153	727
KH2013:KH.C4.199	1139	2723	1468	898	1171	4263
KH2013:KH.C4.2	18	38	2	37	40	34
KH2013:KH.C4.20	1	2	0	0	1	0
KH2013:KH.C4.200	41	113	57	42	29	183
KH2013:KH.C4.201	34	156	31	26	75	144
KH2013:KH.C4.202	91	255	152	74	113	426
KH2013:KH.C4.203	6	10	2	2	1	6
KH2013:KH.C4.204	0	4	4	9	4	9
KH2013:KH.C4.205	31	119	73	20	33	127
KH2013:KH.C4.206	768	1826	1018	646	736	2724
KH2013:KH.C4.207	997	2419	1298	706	969	3819
KH2013:KH.C4.208	571	1583	734	513	741	2335
KH2013:KH.C4.209	1	4	0	4	1	10
KH2013:KH.C4.21	348	676	327	201	251	919
KH2013:KH.C4.210	2	10	1	3	0	6
KH2013:KH.C4.211	5	14	2	7	0	12
KH2013:KH.C4.213	2758	7265	3608	2145	3303	10228
KH2013:KH.C4.214	1	10	1	3	3	12
KH2013:KH.C4.215	0	4	0	1	1	10
KH2013:KH.C4.216	47	115	53	36	60	169
KH2013:KH.C4.217	226	636	294	152	276	952
KH2013:KH.C4.218	0	0	0	0	0	0
KH2013:KH.C4.219	54	58	12	3	12	38
KH2013:KH.C4.22	119	422	204	130	157	529
KH2013:KH.C4.220	0	1	0	0	0	1
KH2013:KH.C4.221	25	141	73	29	42	208
KH2013:KH.C4.222	208	355	265	146	211	682
KH2013:KH.C4.223	175	467	219	155	146	580
KH2013:KH.C4.224	7222	22244	9116	5961	8789	28311
KH2013:KH.C4.225	239	529	212	154	220	800
KH2013:KH.C4.226	91	201	139	88	112	478
KH2013:KH.C4.227	21	60	21	27	26	66
KH2013:KH.C4.228	0	3	1	1	0	0
KH2013:KH.C4.229	0	0	0	2	0	1
KH2013:KH.C4.23	59	170	153	105	109	391
KH2013:KH.C4.230	347	1396	569	701	845	1963
KH2013:KH.C4.231	2076	5124	2172	1510	1995	7035
KH2013:KH.C4.232	109	306	119	72	115	489
KH2013:KH.C4.233	3	16	5	3	4	15
KH2013:KH.C4.234	142	380	185	92	150	481
KH2013:KH.C4.235	0	1	3	0	0	2
KH2013:KH.C4.236	25	44	35	37	50	62
KH2013:KH.C4.237	141	349	160	113	112	526
KH2013:KH.C4.238	16	37	26	17	14	59
KH2013:KH.C4.239	9847	17959	10453	5565	7773	26268
KH2013:KH.C4.24	568	1818	972	457	607	2760
KH2013:KH.C4.240	1	6	0	1	0	3
KH2013:KH.C4.241	17	42	25	9	31	48
KH2013:KH.C4.242	2	6	2	1	2	11
KH2013:KH.C4.243	132	318	140	75	128	501
KH2013:KH.C4.244	7	6	3	13	8	9
KH2013:KH.C4.246	182	489	248	166	166	694
KH2013:KH.C4.247	9	19	12	7	5	44
KH2013:KH.C4.248	19	73	15	21	21	57
KH2013:KH.C4.249	105	277	203	162	168	524
KH2013:KH.C4.25	213	409	195	133	166	524
KH2013:KH.C4.250	240	671	397	186	237	990
KH2013:KH.C4.251	93	225	133	67	76	407
KH2013:KH.C4.253	343	695	313	297	296	988
KH2013:KH.C4.254	250	521	303	186	202	914
KH2013:KH.C4.255	156	376	217	132	152	634
KH2013:KH.C4.256	1	12	4	3	4	19
KH2013:KH.C4.257	308	762	438	267	324	1233
KH2013:KH.C4.258	908	1736	990	760	892	2777
KH2013:KH.C4.259	2	2	5	0	0	0
KH2013:KH.C4.26	1819	4671	2388	1007	1369	7495
KH2013:KH.C4.260	99	366	109	156	263	459
KH2013:KH.C4.261	193	320	161	140	164	504
KH2013:KH.C4.262	710	1606	850	613	742	2537
KH2013:KH.C4.263	44	99	69	36	52	226
KH2013:KH.C4.264	229	599	309	143	164	984
KH2013:KH.C4.265	171	604	283	265	277	1004
KH2013:KH.C4.266	57	189	73	52	86	260
KH2013:KH.C4.267	0	16	0	0	0	14
KH2013:KH.C4.268	170	702	353	99	142	1048
KH2013:KH.C4.269	4	11	11	9	1	24
KH2013:KH.C4.27	1993	4754	2475	1090	1656	7642
KH2013:KH.C4.270	0	4	0	0	1	3
KH2013:KH.C4.271	352	1147	529	250	302	1804
KH2013:KH.C4.272	4	4	6	2	1	13
KH2013:KH.C4.273	53	146	58	49	52	268
KH2013:KH.C4.274	4	11	11	5	2	22
KH2013:KH.C4.275	145	398	209	89	169	667
KH2013:KH.C4.276	357	1027	569	262	360	1349
KH2013:KH.C4.277	284	677	367	231	302	1080
KH2013:KH.C4.278	207	622	271	134	191	656
KH2013:KH.C4.279	21	47	25	25	30	119
KH2013:KH.C4.280	621	1376	693	276	392	1839
KH2013:KH.C4.281	29	130	51	31	37	182
KH2013:KH.C4.282	132	344	157	112	108	504
KH2013:KH.C4.283	383	1008	543	272	402	1488
KH2013:KH.C4.284	274	713	294	226	239	1011
KH2013:KH.C4.285	25	164	51	30	30	291
KH2013:KH.C4.286	190	534	263	147	180	704
KH2013:KH.C4.287	2	2	0	1	1	0
KH2013:KH.C4.288	198	566	300	179	207	957
KH2013:KH.C4.289	7	10	8	7	12	19
KH2013:KH.C4.29	5791	13735	6701	3129	4129	18650
KH2013:KH.C4.290	39	80	29	30	43	137
KH2013:KH.C4.292	238	647	341	223	312	945
KH2013:KH.C4.293	440	1239	669	411	458	1737
KH2013:KH.C4.294	73	152	72	36	62	235
KH2013:KH.C4.295	704	1809	905	515	597	2648
KH2013:KH.C4.296	166	399	257	163	174	660
KH2013:KH.C4.297	54	112	82	46	43	207
KH2013:KH.C4.298	37	111	52	39	49	188
KH2013:KH.C4.299	112	302	117	102	133	353
KH2013:KH.C4.3	0	10	1	0	2	6
KH2013:KH.C4.30	576	1391	793	438	642	2079
KH2013:KH.C4.300	164	387	209	106	187	585
KH2013:KH.C4.301	50	154	109	61	56	243
KH2013:KH.C4.302	13	75	37	19	22	112
KH2013:KH.C4.303	139	358	215	132	159	611
KH2013:KH.C4.304	3	31	8	11	12	9
KH2013:KH.C4.305	74	209	136	68	108	327
KH2013:KH.C4.306	303	720	394	241	347	1105
KH2013:KH.C4.307	3	7	7	4	3	30
KH2013:KH.C4.308	2	3	0	1	3	0
KH2013:KH.C4.309	4	14	3	6	6	9
KH2013:KH.C4.31	96	244	138	78	76	408
KH2013:KH.C4.310	423	1137	705	381	447	1766
KH2013:KH.C4.311	3	17	0	2	1	8
KH2013:KH.C4.312	236	506	245	163	155	802
KH2013:KH.C4.313	3	4	1	3	4	10
KH2013:KH.C4.314	0	0	1	0	0	0
KH2013:KH.C4.315	636	1896	963	583	719	2663
KH2013:KH.C4.316	327	859	366	225	284	976
KH2013:KH.C4.317	370	897	428	230	309	1260
KH2013:KH.C4.318	1183	3445	1657	1029	1256	4783
KH2013:KH.C4.319	53	179	56	66	107	192
KH2013:KH.C4.32	46	110	55	42	66	179
KH2013:KH.C4.320	2	6	1	0	2	0
KH2013:KH.C4.321	1	4	5	0	3	13
KH2013:KH.C4.322	3	3	3	1	1	6
KH2013:KH.C4.323	213	597	371	162	186	1028
KH2013:KH.C4.324	29	112	70	33	43	167
KH2013:KH.C4.325	0	0	2	0	1	1
KH2013:KH.C4.326	187	529	269	149	274	690
KH2013:KH.C4.327	307	580	224	220	190	911
KH2013:KH.C4.328	65	142	73	48	57	232
KH2013:KH.C4.329	6	25	8	2	9	42
KH2013:KH.C4.33	0	0	1	0	0	2
KH2013:KH.C4.330	1	5	2	2	9	6
