foxf1_ko_10hpf_rnaseq_june_6	foxf_ko_10hpf_rnaseq_may_31	lacz1_ko_10hpf_rnaseq_may_31	lacz2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_may_31
KH2013:KH.C10.355	115	279	135	66	110	478
KH2013:KH.C10.356	33	73	34	14	23	87
KH2013:KH.C10.357	154	349	202	121	174	573
KH2013:KH.C10.358	32	93	42	23	27	147
KH2013:KH.C10.359	1	4	1	1	0	5
KH2013:KH.C10.36	69	127	65	72	57	204
KH2013:KH.C10.360	423	913	462	357	432	1244
KH2013:KH.C10.361	7	35	15	5	9	30
KH2013:KH.C10.362	13	44	31	13	12	68
KH2013:KH.C10.363	5	18	7	3	7	29
KH2013:KH.C10.364	2	10	1	1	4	6
KH2013:KH.C10.365	22	73	42	32	25	161
KH2013:KH.C10.366	4	30	14	9	16	19
KH2013:KH.C10.367	19	39	11	12	28	53
KH2013:KH.C10.368	37	239	63	76	141	291
KH2013:KH.C10.369	582	1381	815	503	588	2364
KH2013:KH.C10.37	210	440	215	102	160	508
KH2013:KH.C10.370	1548	3718	1953	1286	1396	5291
KH2013:KH.C10.371	2	16	3	1	9	2
KH2013:KH.C10.372	288	748	392	308	343	1154
KH2013:KH.C10.373	2	10	10	3	4	15
KH2013:KH.C10.374	57	134	37	49	46	175
KH2013:KH.C10.376	1	1	0	2	2	10
KH2013:KH.C10.377	0	4	1	7	4	10
KH2013:KH.C10.379	88	348	113	116	223	449
KH2013:KH.C10.38	3	8	2	2	3	4
KH2013:KH.C10.380	2	3	3	0	0	32
KH2013:KH.C10.381	0	1	1	0	1	0
KH2013:KH.C10.382	20	69	61	24	24	129
KH2013:KH.C10.383	89	182	130	55	78	453
KH2013:KH.C10.384	323	896	437	205	315	1307
KH2013:KH.C10.385	21	59	31	8	17	78
KH2013:KH.C10.386	0	2	3	0	0	9
KH2013:KH.C10.387	13	75	28	19	22	119
KH2013:KH.C10.388	0	0	0	0	0	0
KH2013:KH.C10.389	9	10	7	2	3	16
KH2013:KH.C10.39	12	46	21	11	29	64
KH2013:KH.C10.390	0	1	1	0	0	1
KH2013:KH.C10.391	0	0	1	1	3	5
KH2013:KH.C10.392	152	266	146	95	160	386
KH2013:KH.C10.393	60	219	98	36	45	276
KH2013:KH.C10.394	2	5	4	2	0	12
KH2013:KH.C10.395	51	136	66	47	52	233
KH2013:KH.C10.396	5	2	6	6	3	17
KH2013:KH.C10.397	54	119	78	36	47	187
KH2013:KH.C10.398	40	67	29	30	37	96
KH2013:KH.C10.399	4	8	8	7	3	9
KH2013:KH.C10.4	24	81	52	19	36	123
KH2013:KH.C10.40	174	332	146	96	141	487
KH2013:KH.C10.400	161	448	172	122	150	562
KH2013:KH.C10.401	51	167	55	56	67	236
KH2013:KH.C10.402	1	3	4	1	0	0
KH2013:KH.C10.403	107	370	158	76	90	516
KH2013:KH.C10.404	38	112	64	44	46	162
KH2013:KH.C10.405	147	388	215	141	111	641
KH2013:KH.C10.406	133	277	168	63	88	443
KH2013:KH.C10.407	33	101	46	31	29	172
KH2013:KH.C10.408	340	895	353	234	344	1174
KH2013:KH.C10.409	30	69	34	19	27	115
KH2013:KH.C10.41	15	5	0	8	8	6
KH2013:KH.C10.410	0	2	0	0	0	1
KH2013:KH.C10.411	58	206	118	61	72	288
KH2013:KH.C10.412	665	1835	1015	513	682	2902
KH2013:KH.C10.413	1	3	0	0	0	3
KH2013:KH.C10.414	247	558	294	208	287	866
KH2013:KH.C10.415	17	43	25	8	25	92
KH2013:KH.C10.416	367	911	432	285	338	1189
KH2013:KH.C10.417	8	12	10	15	13	14
KH2013:KH.C10.418	2	23	11	3	5	48
KH2013:KH.C10.419	1	2	0	1	3	0
KH2013:KH.C10.42	248	566	257	176	219	830
KH2013:KH.C10.420	0	0	0	0	1	2
